DISTRICT,LOCATION,PH,EC,TDS,CO3,HCO3,CL,NO3,SO4,F,ALK,CA,MG,TH,NA,K,SAR
Banaskantha,Khoda,8.23,1786,1197,0,451,320.0,0.96,126.0,1.9,370,20,24.0,150,368.0,4.5,13.0
Banaskantha,Kidotar,8.18,1200,804,0,647,121.0,19.0,25.0,0.8,530,68,58.0,410,150.0,6.0,3.2
Banaskantha,Meda,7.8,810,543,0,183,114.0,65.0,39.0,0.52,150,68,24.0,270,72.0,2.3,1.9
Banaskantha,Palanpur2,8.02,1421,952,0,305,227.0,116.0,63.0,0.7,250,48,51.0,330,188.0,0.68,4.5
Banaskantha,Ratanpur2,7.8,1151,771,0,146,192.0,127.0,68.0,0.15,120,108,36.0,420,78.0,4.1,1.7
Banaskantha,Sodapur,8.25,801,537,0,366,64.0,20.0,41.0,1.45,300,20,22.0,140,145.0,1.9,5.3
Bharuch,Arethi,7.45,882,591,0,220,43.0,172.0,26.0,0.24,180,60,39.0,310,59.0,0.57,1.5
Bharuch,Bharuch,7.34,4250,2848,0,415,922.0,410.0,61.0,0.29,340,72,202.0,1010,514.0,2.2,7.03
Bharuch,Bhensli,7.98,2920,1956,0,549,418.0,360.0,44.0,0.74,450,44,61.0,360,500.0,14.0,11.5
Bharuch,Chhindra,7.95,1075,720,0,366,78.0,75.0,63.0,0.4,300,64,44.0,340,65.0,47.0,1.5
Bharuch,Dahegam,7.64,1010,677,0,366,92.0,30.0,50.0,0.18,300,44,71.0,400,32.0,31.0,0.7
Bharuch,Ilav,7.94,2550,1709,0,793,142.0,310.0,124.0,2.5,650,24,10.0,100,541.0,1.6,23.5
Bharuch,Jambusar2,7.82,4330,2901,0,390,929.0,455.0,72.0,0.86,320,52,51.0,340,839.0,1.8,19.8
Bharuch,Jetpur1_(नवी नगरी),7.49,4350,2915,0,439,908.0,475.0,51.0,0.29,360,88,92.0,600,714.0,17.0,12.7
Bharuch,Jokhla,7.51,989,663,0,427,71.0,14.0,42.0,1.2,350,48,41.0,290,96.0,0.51,2.5
Bharuch,Kalak_1,8.01,1170,784,0,171,220.0,112.0,21.0,0.35,140,44,29.0,230,159.0,7.0,4.6
Bharuch,Kaswa,7.81,2570,1722,0,842,206.0,238.0,70.0,1.3,690,40,24.0,200,498.0,2.7,15.3
Bharuch,Kavi,7.81,1715,1149,0,207,326.0,198.0,27.0,0.29,170,40,39.0,260,273.0,7.4,7.4
Bharuch,Kondh,7.64,670,449,0,268,64.0,12.0,13.0,0.76,220,48,10.0,160,79.0,1.0,2.7
Bharuch,Luhara,7.67,405,271,0,183,14.0,26.0,5.0,0.26,150,36,19.0,170,13.0,2.0,0.4
Bharuch,Mahegam1,7.77,1270,851,0,159,156.0,259.0,18.0,0.22,130,28,34.0,210,192.0,7.0,5.8
Bharuch,Modoliya,7.32,1695,1136,0,317,326.0,52.0,89.0,0.21,260,88,128.0,745,45.0,0.5,0.7
Bharuch,Mokhdi,7.06,1180,791,0,354,170.0,36.0,27.0,0.25,290,72,80.0,510,35.0,0.35,0.7
Bharuch,Motwan,7.38,740,496,0,232,71.0,64.0,15.0,0.48,190,40,39.0,260,49.0,2.3,1.3
Bharuch,Mulad,7.51,3255,2181,0,427,539.0,472.0,34.0,0.42,350,40,54.0,320,600.0,6.8,14.6
Bharuch,Navetha,7.81,650,436,0,183,99.0,22.0,13.0,0.29,150,32,27.0,190,59.0,4.3,1.9
Bharuch,Netrang1,7.16,1213,813,0,232,206.0,88.0,34.0,0.18,190,128,46.0,510,39.0,0.3,0.8
Bharuch,Nirnavi,7.63,1655,1109,0,317,305.0,212.0,26.0,0.56,260,48,32.0,250,307.0,4.7,8.4
Bharuch,Panoli,7.89,2700,1809,0,635,291.0,358.0,55.0,1.5,520,28,34.0,210,522.0,3.2,15.7
Bharuch,Rayma,7.81,720,482,0,146,113.0,58.0,23.0,0.17,120,8,44.0,200,73.0,1.7,2.2
Bharuch,Roja Tankaria,7.44,5420,3631,0,439,1135.0,482.0,305.0,0.15,360,88,195.0,1020,771.0,11.0,10.5
Bharuch,Sahol,7.53,4040,2707,0,415,638.0,314.0,560.0,0.68,340,84,78.0,530,681.0,4.9,12.9
Bharuch,Sajod,8.01,2401,1609,0,720,362.0,45.0,69.0,2.8,590,24,32.0,190,463.0,2.9,14.6
Bharuch,Sarod,7.28,1119,750,0,317,170.0,41.0,14.0,0.46,260,40,49.0,300,116.0,4.4,2.9
Bharuch,Sindhav,7.98,1530,1025,0,512,121.0,155.0,14.0,0.1,420,28,19.0,150,269.0,27.0,9.6
Bharuch,Tankari,8.01,8614,5771,0,757,1582.0,495.0,1164.0,2.0,620,28,41.0,240,1860.0,22.0,52.2
Bharuch,Utraj,7.99,962,645,0,378,57.0,67.0,24.0,0.64,310,60,34.0,290,86.0,2.4,2.2
Bharuch*,Manad(मनाड),7.71,1798,1205,0,476,234.0,152.0,23.0,0.41,390,64,80.0,490,182.0,10.0,3.6
Bhavnagar,Aambla,8.13,697,467,0,280,78.0,13.0,45.0,0.79,230,32,49.0,280,56.0,2.8,17.4
Bhavnagar,Bhavnagar,7.92,1154,773,0,415,142.0,32.0,57.0,0.41,340,40,41.0,270,164.0,0.5,18.3
Bhavnagar,Bora,8.46,1607,1077,108,549,107.0,68.0,81.0,1.7,630,16,19.0,120,360.0,2.6,12.0
Bhavnagar,Datha,8.11,1214,813,0,464,178.0,7.5,15.0,1.2,380,40,29.0,220,204.0,4.9,17.8
Bhavnagar,Dhasa,8.02,1342,899,0,598,142.0,28.0,45.0,0.63,490,76,41.0,360,188.0,4.9,24.4
Bhavnagar,Gadhada,7.77,1145,767,0,488,128.0,5.2,15.0,0.27,400,68,49.0,370,110.0,2.2,23.0
Bhavnagar,Gogha,8.08,6158,4126,0,695,1420.0,320.0,298.0,0.71,570,140,73.0,650,1124.0,11.0,33.1
Bhavnagar,Kundheli,7.96,292,196,0,159,21.0,0.6,7.0,0.26,130,24,22.0,150,8.0,2.2,13.9
Bhavnagar,Longadi,8.17,705,472,0,354,43.0,4.9,26.0,0.88,290,36,22.0,180,80.0,25.0,16.7
Bhavnagar,Mahuva,8.26,3872,2594,0,903,724.0,66.0,171.0,1.2,740,24,29.0,180,836.0,1.9,14.5
Bhavnagar,Motivadal,8.07,1320,884,0,439,199.0,19.0,70.0,0.33,360,40,90.0,470,106.0,9.0,21.5
Bhavnagar,Ningala,8.19,918,615,0,390,71.0,14.0,39.0,0.76,320,16,19.0,120,163.0,1.0,12.0
Bhavnagar,Panchpipla,8.12,1296,868,0,451,170.0,19.0,46.0,0.79,370,32,43.0,260,188.0,1.0,17.2
Bhavnagar,Talaja,7.87,1986,1331,0,195,497.0,70.0,106.0,0.64,160,76,124.0,700,156.0,0.8,27.3
Bhavnagar,Tatum,7.92,3247,2175,0,305,710.0,136.0,206.0,0.45,250,200,78.0,820,370.0,3.0,40.4
Bhavnagar,Thardera,7.97,2769,1855,0,366,454.0,269.0,170.0,0.47,300,136,151.0,960,196.0,2.9,34.0
Bhavnagar,Vadal,7.71,1067,715,0,342,128.0,18.0,50.0,0.36,280,44,72.0,410,53.0,0.5,21.0
Bhavnagar,Vavdi,8.1,773,518,0,366,71.0,30.0,21.0,0.41,300,36,49.0,290,71.0,0.9,18.0
Daman,Jampor,7.99,1072,718,0,329,163.0,18.0,50.0,0.17,270,64,66.0,430,63.0,24.0,23.0
Daman,Khariwad daman,7.87,482,323,0,244,50.0,13.0,12.0,0.35,200,44,15.0,170,57.0,9.5,19.1
Daman,Manwad,7.98,616,413,0,268,57.0,11.0,50.0,0.0,220,40,36.0,250,50.0,1.7,18.1
Daman,Warkund,7.85,1715,1149,0,403,305.0,51.0,82.0,0.67,330,60,136.0,710,109.0,1.2,26.5
Diu,Gomtimata,8.16,2157,1445,0,598,305.0,104.0,107.0,0.64,490,48,85.0,470,309.0,6.2,22.2
Dohad,Badpa,8.17,970,650,0,427,92.0,3.0,42.0,4.6,350,32,10.0,120,185.0,1.2,7.3
Dohad,Dadhela,7.79,784,525,0,366,64.0,33.0,38.0,1.3,300,24,61.0,310,65.0,4.9,17.3
Dohad,Dahod Urban-1,7.72,576,386,0,220,35.0,37.0,26.0,1.4,180,56,17.0,210,40.0,0.58,1.2
Dohad,Dahod Urban-2,7.85,1909,1279,0,378,291.0,185.0,115.0,3.5,310,76,83.0,530,215.0,3.8,4.1
Dohad,Dahod Urban-3,7.78,1414,947,0,305,184.0,110.0,135.0,0.5,250,60,46.0,340,185.0,3.0,4.4
Dohad,Dahod2,7.89,1530,1025,0,451,220.0,28.0,76.0,2.2,370,48,49.0,320,225.0,2.0,5.5
Dohad,Garbara,7.86,6888,4615,0,525,1312.0,795.0,440.0,6.5,430,104,231.0,1211,1048.0,26.0,13.1
Dohad,Kanjetha,8.02,692,464,0,293,50.0,14.0,29.0,0.73,240,40,27.0,210,66.0,2.8,2.0
Dohad,Khandania,7.82,510,342,0,256,21.0,16.0,18.0,3.0,210,40,22.0,190,43.0,0.97,1.4
Dohad,Limbdi,7.86,776,520,0,281,106.0,1.1,26.0,1.0,230,40,29.0,220,85.0,4.9,2.5
Dohad,Mirakhedi,7.76,835,559,0,293,71.0,74.0,37.0,1.04,240,96,24.0,340,52.0,0.61,1.2
Dohad,Panchwada,7.99,759,509,0,329,57.0,34.0,25.0,1.5,270,24,46.0,250,77.0,4.1,2.1
Dohad,Sarsava,7.84,655,439,0,329,35.0,3.0,20.0,0.57,270,68,12.0,220,52.0,3.5,1.5
Dohad,Sukhsar,7.82,682,457,0,268,57.0,56.0,27.0,0.76,220,56,17.0,210,69.0,1.6,2.1
Dohad,Thada,7.85,395,265,0,171,35.0,7.9,19.0,0.46,140,40,15.0,160,25.0,3.1,0.9
Dohad,Tokarba,7.84,1280,858,0,525,163.0,9.1,27.0,0.85,430,188,32.0,600,47.0,6.0,0.8
Dohad,Varamkheda,7.97,465,312,0,220,35.0,13.0,15.0,0.65,180,44,15.0,170,38.0,3.4,1.3
Gandhinagar,Paliya,8.32,2434,1631,84,464,327.0,113.0,131.0,1.3,520,64,129.0,690,240.0,1.55,4.0
Jamnagar,Amaliya Chokari,7.86,3486,2336,0,488,788.0,14.0,131.0,0.78,400,160,146.0,1000,346.0,5.7,4.8
Jamnagar,Ambardi,7.74,1459,978,0,464,185.0,55.0,88.0,0.62,380,68,61.0,420,171.0,1.9,3.6
Jamnagar,Amran,8.31,1020,683,36,317,92.0,3.1,73.0,0.85,320,40,7.3,130,176.0,4.1,6.7
Jamnagar,Aramda,8.13,1325,888,0,403,192.0,2.6,113.0,2.2,330,60,12.0,200,240.0,17.0,7.4
Jamnagar,Balva,7.63,1239,830,0,476,170.0,22.0,34.0,0.3,390,132,41.0,500,84.0,3.7,1.6
Jamnagar,Bed,7.41,2060,1380,0,317,341.0,197.0,152.0,0.14,260,128,54.0,540,220.0,1.8,4.1
Jamnagar,Bhadthar,6.89,563,377,0,268,35.0,15.0,15.0,0.41,220,36,17.0,160,65.0,2.4,2.2
Jamnagar,Bhanvad,7.73,1113,746,0,464,85.0,16.0,51.0,0.42,380,100,39.0,410,80.0,1.5,1.7
Jamnagar,Changa,7.64,1543,1034,0,281,277.0,81.0,101.0,0.03,230,132,58.0,570,99.0,0.69,1.8
Jamnagar,Dhrol,7.93,2158,1446,0,634,327.0,0.02,142.0,0.61,520,84,88.0,570,235.0,3.1,4.3
Jamnagar,Dwarka,7.55,3510,2352,0,427,724.0,101.0,227.0,0.25,350,120,61.0,550,550.0,38.0,10.2
Jamnagar,Govardhanpur,8.05,990,663,0,329,163.0,3.9,27.0,0.52,270,32,24.0,180,159.0,2.8,5.1
Jamnagar,Hadiyana,7.52,14380,9635,0,281,4622.0,2.0,339.0,0.46,230,1840,24.0,4700,1300.0,2.9,8.2
Jamnagar,Haripar,7.28,1300,871,0,598,92.0,5.0,25.0,1.3,490,96,41.0,410,111.0,16.0,2.4
Jamnagar,Jamdudhai,8.22,934,626,0,268,143.0,2.6,48.0,0.33,220,32,10.0,120,160.0,2.6,6.4
Jamnagar,Jamnagar,7.96,853,572,0,305,99.0,3.5,47.0,0.26,250,52,19.0,210,106.0,0.91,3.2
Jamnagar,Jodiya,7.98,7025,4707,0,329,1820.0,141.0,430.0,0.84,270,276,221.0,1600,874.0,1.4,9.5
Jamnagar,Juvanpur,7.97,3321,2225,0,439,753.0,53.0,187.0,0.3,360,60,158.0,800,392.0,4.5,6.0
Jamnagar,Kalavad,8.11,1510,1012,0,610,163.0,78.0,50.0,0.47,500,104,44.0,440,155.0,7.4,3.2
Jamnagar,Khirsara,7.18,3105,2080,0,439,709.0,36.0,195.0,0.34,360,224,85.0,911,300.0,5.6,4.3
Jamnagar,Kuvadiya,7.73,1281,858,0,256,249.0,42.0,52.0,0.17,210,108,41.0,440,94.0,0.35,2.0
Jamnagar,Lalpur,7.89,1482,993,0,366,227.0,61.0,83.0,0.28,300,76,56.0,420,171.0,0.57,3.6
Jamnagar,Lambha,7.51,4786,3207,0,378,980.0,25.0,450.0,0.56,310,160,158.0,1050,624.0,1.8,8.4
Jamnagar,Modpar,7.39,1094,733,0,390,142.0,22.0,24.0,0.51,320,72,19.0,260,154.0,2.6,4.2
Jamnagar,Mojap,8.0,7076,4741,0,549,1811.0,12.0,343.0,1.5,450,160,170.0,1100,1042.0,167.0,13.7
Jamnagar,Mota Gop,7.92,679,455,0,171,135.0,20.0,25.0,0.21,140,40,29.0,220,70.0,1.0,2.1
Jamnagar,Mota Kalvad,7.82,1675,1122,0,256,348.0,105.0,54.0,0.33,210,148,63.0,630,105.0,0.0,1.8
Jamnagar,Moti Matli,7.81,705,472,0,220,107.0,6.3,32.0,0.3,180,44,22.0,200,82.0,2.9,2.5
Jamnagar,Nikava,8.03,888,595,0,378,78.0,70.0,20.0,0.38,310,52,32.0,260,102.0,8.6,2.8
Jamnagar,Pindara,7.81,711,476,0,195,114.0,0.94,53.0,0.84,160,52,15.0,190,78.0,5.6,2.4
Jamnagar,Raval,7.22,2531,1696,0,439,532.0,32.0,79.0,0.24,360,148,58.0,610,303.0,0.62,5.3
Jamnagar,Salaya,7.96,781,523,0,293,85.0,38.0,38.0,0.14,240,48,27.0,230,90.0,7.3,2.6
Jamnagar,Samlasar,7.81,13680,9166,0,525,4118.0,6.8,357.0,7.0,430,420,450.0,2900,2013.0,12.0,16.3
Jamnagar,Seth Vadla,7.45,1396,935,0,342,199.0,92.0,82.0,0.23,280,92,66.0,500,107.0,0.4,2.1
Jamnagar,Toda,7.65,740,496,0,220,71.0,66.0,49.0,0.35,180,60,4.9,170,97.0,1.1,3.2
Jamnagar,Vadtara,7.83,809,542,0,378,71.0,25.0,40.0,0.24,310,72,24.0,280,89.0,0.95,2.3
Jamnagar,Varvala,7.41,5378,3603,0,378,1456.0,19.0,49.0,0.67,310,280,207.0,1550,501.0,8.3,5.5
Jamnagar,Vijarkhi,8.06,556,373,0,268,36.0,1.9,21.0,0.47,220,32,10.0,120,74.0,0.23,2.9
Jamnagar,Vinjhalpar,7.8,1924,1289,0,427,355.0,69.0,134.0,0.11,350,112,83.0,620,173.0,20.0,3.0
Junagadh,Alwani,7.73,905,606,0,476,57.0,1.3,6.0,0.18,390,40,69.0,360,60.0,1.0,18.8
Junagadh,Amervel Nes,7.9,705,472,0,390,50.0,3.5,12.0,0.22,320,68,29.0,290,55.0,3.0,23.4
Junagadh,Bamanvada,7.02,4173,2796,0,159,1333.0,59.0,45.0,0.14,130,481,61.0,1451,255.0,5.3,2.9
Junagadh,Bhimdeval,7.62,1031,691,0,317,135.0,38.0,40.0,0.84,260,64,27.0,270,115.0,2.5,22.6
Junagadh,Bilkha,7.78,2010,1347,0,525,284.0,133.0,133.0,0.67,430,96,136.0,801,129.0,1.3,2.0
Junagadh,Chokli,7.02,8054,5396,0,85,2283.0,148.0,590.0,1.3,70,188,207.0,1321,1282.0,17.0,15.3
Junagadh,Dhokadhva,8.14,691,463,0,378,50.0,23.0,21.0,0.11,310,48,46.0,310,53.0,1.9,19.9
Junagadh,Galodar,7.86,652,437,0,268,71.0,4.3,21.0,0.24,220,56,29.0,260,45.0,1.4,1.2
Junagadh,Girgadhada,7.59,1085,727,0,293,92.0,108.0,51.0,0.18,240,76,63.0,450,31.0,0.7,24.7
Junagadh,Goraj,7.98,1024,686,0,207,135.0,41.0,118.0,1.1,170,56,29.0,260,114.0,1.7,3.1
Junagadh,Govindpura,7.73,927,621,0,354,64.0,27.0,46.0,0.6,290,64,22.0,250,95.0,1.5,23.2
Junagadh,Jambur,7.61,776,520,0,329,78.0,7.2,20.0,0.13,270,48,27.0,230,79.0,1.3,19.3
Junagadh,Jamvala,7.45,607,407,0,280,43.0,6.8,50.0,0.22,230,52,34.0,270,38.0,0.7,20.1
Junagadh,Jargali,7.98,555,372,0,256,78.0,4.2,17.0,0.26,210,48,29.0,240,45.0,0.8,19.4
Junagadh,Junagadh,7.7,1399,937,0,244,248.0,75.0,72.0,0.4,200,104,54.0,480,99.0,2.5,2.0
Junagadh,Juthal,7.62,838,561,0,378,78.0,20.0,11.0,0.23,310,88,27.0,330,57.0,3.1,1.4
Junagadh,Kanedipur,7.38,727,487,0,354,50.0,3.9,20.0,0.25,290,76,22.0,280,42.0,0.2,1.1
Junagadh,Kanek,7.01,6710,4496,0,268,2070.0,24.0,190.0,0.28,220,922,51.0,2512,380.0,24.0,3.3
Junagadh,Kansari,8.15,1691,1133,0,439,206.0,148.0,95.0,0.71,360,48,95.0,510,154.0,3.7,22.8
Junagadh,Karej,7.05,2595,1739,0,110,766.0,90.0,92.0,0.79,90,337,2.4,851,230.0,2.7,3.4
Junagadh,Kasia Naka,7.66,724,485,0,366,64.0,9.0,41.0,0.13,300,52,54.0,350,42.0,0.0,20.7
Junagadh,Kesariyaji,7.6,735,492,0,244,71.0,25.0,31.0,0.83,200,52,36.0,280,34.0,6.0,20.3
Junagadh,Kevadra,7.56,1297,869,0,171,248.0,64.0,152.0,0.33,140,100,36.0,400,125.0,1.3,2.7
Junagadh,Khambhaliya,7.42,4045,2710,0,268,1078.0,34.0,201.0,0.25,220,273,46.0,871,505.0,17.0,7.4
Junagadh,Khodada,7.25,8365,5605,0,268,2581.0,18.0,284.0,0.24,220,778,151.0,2562,730.0,3.1,6.3
Junagadh,Khokharda,7.57,2800,1876,0,354,581.0,91.0,252.0,0.62,290,108,63.0,530,395.0,1.1,7.5
Junagadh,Khoras Ahir,7.65,1478,990,0,378,241.0,48.0,63.0,0.46,310,124,44.0,490,109.0,2.0,2.1
Junagadh,Kodinar,7.58,2516,1686,0,329,596.0,50.0,115.0,0.87,270,112,126.0,800,215.0,1.6,31.0
Junagadh,Kukaswada,7.15,5035,3373,0,305,1418.0,93.0,157.0,0.28,250,609,19.0,1601,360.0,82.0,3.9
Junagadh,Maktupur,6.99,6368,4267,0,439,1801.0,101.0,211.0,0.29,360,345,4.9,881,910.0,235.0,13.0
Junagadh,Mendarda,7.67,1306,875,0,390,184.0,37.0,61.0,0.52,320,84,80.0,540,72.0,1.8,1.3
Junagadh,Moraj,7.55,577,387,0,232,71.0,3.4,30.0,0.62,190,64,19.0,240,40.0,1.6,23.9
Junagadh,Patla,7.69,921,617,0,366,106.0,15.0,38.0,0.42,300,68,46.0,360,73.0,1.0,1.7
Junagadh,Pransli,7.82,638,427,0,183,107.0,17.0,17.0,1.3,150,52,32.0,260,32.0,7.1,20.0
Junagadh,Prempara,7.66,1477,990,0,281,227.0,150.0,100.0,0.43,230,104,90.0,630,70.0,0.5,28.9
Junagadh,Sametar,7.9,1249,837,0,464,92.0,64.0,51.0,0.28,380,48,71.0,400,100.0,8.8,20.6
Junagadh,Shardagram,7.45,11560,7745,0,329,3531.0,17.0,577.0,0.35,270,569,179.968,2162,1744.0,12.0,16.3
Junagadh,Shepa,7.38,1006,674,0,397,99.0,51.0,35.0,0.52,325,100,29.0,370,70.0,1.7,1.6
Junagadh,Sheriyakhan,7.76,976,654,0,293,121.0,39.0,60.0,0.67,240,56,34.0,280,95.0,7.7,2.5
Junagadh,Shil,7.02,3358,2250,0,317,879.0,47.0,103.0,0.46,260,200,4.9,520,470.0,99.0,9.0
Junagadh,Shil Bandar,7.37,8725,5846,0,488,2453.0,21.0,455.0,0.19,400,112,195.0,1081,1536.0,53.0,20.0
Junagadh,Una,7.96,2592,1737,0,647,412.0,82.0,16.0,1.6,530,56,36.0,580,281.0,3.8,42.0
Jundagadh,Bantva,7.35,2943,1972,0,512,596.0,22.0,258.0,0.66,420,60,49.0,350,580.0,2.0,13.0
Kachchh,Bambhdai,7.45,9253,6200,0,305,2694.0,5.5,640.0,0.9,250,269,209.0,1531,1340.0,6.1,14.9
Kachchh,Bhadreshwar,7.83,3486,2336,0,561,808.0,89.0,16.0,1.2,460,244,122.0,1111,218.0,23.0,2.8
Kachchh,Bhuj,7.42,929,622,0,293,106.0,13.0,106.0,0.72,240,100,19.0,330,72.0,11.0,1.7
Kachchh,Desalpar,8.08,3894,2609,0,354,830.0,19.0,390.0,0.39,290,144,100.0,771,453.0,37.0,7.1
