S.N.,DISTRICT,LOCATION,LATITUDE,LONGITUDE,PH,EC,TDS,TH,CO3,HCO3,CL,S04,NO3,F,ALK,CA,MG,NA,K,SIO2,SAR
530.0,Surendranagar,Jhinjhuwada,23.34889,71.65722,8.43,760,509,310.0,36.0,366.0,35.0,1.0,1.9,0.55,360.0,68.0,34.0,44.0,11.0,35.0,1.09
531.0,Surendranagar,Dhama,23.39583,71.67139,7.99,3426,2295,510.0,0.0,451.0,666.0,325.0,91.0,1.5,370.0,72.0,80.0,442.0,245.0,22.0,8.51
532.0,Tapi,Vyara1,21.10833,73.39583,7.82,590,395,250.0,0.0,244.0,50.0,27.0,7.7,0.13,200.0,68.0,19.0,26.0,5.75,52.0,0.71
533.0,Tapi,Songarh,21.16465,73.55346,7.85,648,434,300.0,0.0,366.0,21.0,10.0,0.94,0.15,300.0,60.0,36.0,24.0,0.59,77.0,0.6
534.0,Tapi,Kherwada,21.28111,73.46528,7.81,685,459,300.0,0.0,244.0,92.0,33.0,20.0,0.4,200.0,76.0,27.0,33.0,0.26,56.0,0.83
535.0,Tapi,Moti Chher,21.2125,73.36222,8.04,490,328,210.0,0.0,207.0,35.0,27.0,12.0,0.2,170.0,52.0,19.0,27.0,0.28,55.0,0.81
536.0,Tapi,Pinpur,21.44784,73.4814,8.03,322,216,130.0,0.0,134.0,21.0,22.0,13.0,0.34,110.0,28.0,15.0,22.0,0.55,46.0,0.84
537.0,Tapi,Valod,21.05,73.26667,8.05,465,312,180.0,0.0,171.0,35.0,21.0,1.75,0.4,140.0,52.0,12.0,18.0,0.17,34.0,0.58
538.0,Tapi,Kelkui,21.04194,73.32333,7.9,489,328,220.0,0.0,232.0,35.0,23.0,5.81,0.36,190.0,60.0,17.0,23.0,0.51,38.0,0.67
539.0,Tapi,Bedchit,20.95,73.35139,7.84,1487,996,600.0,0.0,415.0,269.0,76.0,24.0,0.8,340.0,68.0,105.0,103.0,0.91,73.0,1.83
540.0,Vadodara,Juna samalya,22.50406,73.27419,8.36,1760,1179,310.0,96.0,275.0,291.0,59.0,39.4,0.29,385.0,52.0,44.0,232.0,49.0,38.0,5.74
541.0,Vadodara,Kevada Bag,22.29231,73.20243,8.06,1260,844,400.0,0.0,445.0,142.0,32.0,39.4,0.71,365.0,36.0,75.0,96.0,8.26,34.0,2.09
542.0,Vadodara,ONGC,22.27625,73.207,8.27,3236,2168,350.0,72.0,305.0,780.0,117.0,11.7,1.24,370.0,80.0,36.0,589.0,2.21,32.0,13.69
543.0,Vadodara,Patiyapura,22.27704,73.42524,8.33,4340,2908,1850.0,288.0,952.0,489.0,184.0,3.4,0.57,1260.0,280.0,280.0,129.0,13.0,56.0,1.3
544.0,Vadodara,Saidal,22.17457,73.58393,8.15,670,449,290.0,0.0,256.0,57.0,16.0,38.1,0.96,210.0,44.0,44.0,21.0,1.78,39.0,0.54
545.0,Vadodara,Sama,22.34212,73.20322,8.44,1980,1327,430.0,96.0,580.0,248.0,0.0,1.8,0.73,635.0,40.0,80.0,233.0,40.0,42.0,4.89
546.0,Vadodara,Tundav,22.48168,73.1974,8.04,1350,905,380.0,0.0,390.0,191.0,71.0,4.0,0.52,320.0,64.0,54.0,93.0,71.0,38.0,2.08
547.0,Vadodara,Vega,22.14398,73.40289,8.32,1910,1280,430.0,66.0,336.0,333.0,99.0,19.0,0.39,385.0,140.0,19.0,226.0,29.0,35.0,4.73
548.0,Valsad,Dharampur 3,20.5364,73.1706,8.22,520,348,210.0,0.0,183.0,64.0,24.0,3.57,0.45,150.0,48.0,22.0,32.0,0.2,49.0,0.96
549.0,Valsad,Awadha,20.51667,73.2875,8.28,397,266,170.0,0.0,159.0,43.0,12.0,5.43,0.18,130.0,32.0,22.0,20.0,0.18,53.0,0.67
550.0,Valsad,Nanaponda,20.41389,73.12083,8.07,984,659,400.0,0.0,244.0,135.0,115.0,30.35,0.49,200.0,64.0,58.0,52.0,0.86,68.0,1.13
551.0,Valsad,Fali,20.31306,73.37611,8.2,302,202,140.0,0.0,159.0,14.0,8.0,4.52,0.26,130.0,40.0,10.0,11.0,1.03,47.0,0.4
353.0,Navsari,Kantasvel,20.59761,73.69487,7.73,2073,1389,661.0,0.0,73.0,631.0,125.0,0.63,0.84,60.0,232.0,19.0,223.0,1.11,38.0,3.77
354.0,Navsari,Rankuva,20.8125,73.15833,8.1,1201,805,350.0,0.0,305.0,241.0,51.0,18.27,0.64,250.0,64.0,46.0,142.0,2.2,34.0,3.3
355.0,Navsari,Kaliyari,20.725,73.15,8.15,701,470,330.0,0.0,256.0,78.0,35.0,20.03,0.24,210.0,64.0,41.0,26.0,0.4,39.0,0.62
356.0,Navsari,Rumla,20.68028,73.1717,8.13,852,571,400.0,0.0,354.0,85.0,35.0,15.33,0.27,290.0,96.0,39.0,27.0,0.51,71.0,0.59
357.0,Navsari,Panikhadak,20.64917,73.16694,8.27,711,476,300.0,0.0,232.0,99.0,35.0,5.28,0.32,190.0,92.0,17.0,26.0,1.36,87.0,0.65
358.0,Navsari,Manav Khadak,20.67417,73.23333,8.27,578,387,240.0,0.0,195.0,64.0,37.0,1.07,0.34,160.0,48.0,29.0,26.0,0.88,42.0,0.73
359.0,Navsari,Hond,20.73889,73.04583,7.22,1084,726,420.0,0.0,244.0,199.0,85.0,1.67,0.13,200.0,96.0,44.0,73.0,1.52,41.0,1.55
360.0,Navsari,Duvada,20.82861,73.0575,8.1,865,580,300.0,0.0,390.0,64.0,54.0,2.83,0.85,320.0,36.0,51.0,77.0,1.1,41.0,1.93
361.0,Navsari,Sari_khurd,20.7875,72.95417,8.25,612,410,210.0,0.0,268.0,71.0,14.0,1.45,0.38,220.0,20.0,39.0,48.0,12.0,26.0,1.43
362.0,Navsari,Abrama,20.8625,72.9,8.17,3491,2339,901.0,0.0,268.0,1035.0,84.0,2.18,0.33,220.0,120.0,146.0,409.0,15.0,24.0,5.93
363.0,Navsari,Onjal,20.83333,72.84167,8.19,896,600,310.0,0.0,415.0,85.0,20.0,1.63,0.46,340.0,84.0,24.0,69.0,4.39,27.0,1.7
364.0,Navsari,Dandi,20.89167,72.80833,8.2,919,616,230.0,0.0,415.0,57.0,36.0,5.99,0.25,340.0,32.0,36.0,81.0,59.0,29.0,2.32
365.0,Navsari,Navsari 1,20.805,73.26667,8.12,3651,2446,991.0,0.0,427.0,1007.0,140.0,5.24,0.41,350.0,184.0,129.0,444.0,10.0,33.0,6.14
366.0,Navsari,Chinam,20.99167,72.88611,8.55,2738,1834,360.0,30.0,635.0,461.0,90.0,29.18,0.25,570.0,60.0,51.0,343.0,209.0,39.0,7.86
367.0,Navsari,Parujan,21.02297,72.836,8.51,1577,1057,290.0,36.0,659.0,128.0,75.0,13.46,1.02,600.0,60.0,34.0,266.0,2.59,36.0,6.79
368.0,Navsari,Chadav,20.83111,73.33444,7.25,782,524,340.0,0.0,268.0,99.0,41.0,11.0,0.59,220.0,64.0,44.0,39.0,1.26,49.0,0.92
369.0,Navsari,Unai,20.84876,73.33769,7.87,766,513,330.0,0.0,305.0,85.0,28.0,8.13,0.43,250.0,56.0,46.0,41.0,1.53,53.0,0.98
370.0,Navsari,Khergam,20.63333,73.09583,7.73,1101,738,390.0,0.0,183.0,191.0,107.0,5.67,0.25,150.0,88.0,41.0,59.0,0.5,40.0,1.3
371.0,Panchmahal,Shehra,22.9515,73.62741,8.19,1085,727,210.0,0.0,488.0,85.0,30.0,6.3,0.49,400.0,32.0,32.0,103.0,93.0,73.0,3.09
372.0,Panchmahal,Santroad_1,22.79666,73.80389,7.58,650,436,220.0,0.0,256.0,57.0,34.0,17.0,0.74,210.0,52.0,22.0,60.0,2.7,35.0,1.76
373.0,Panchmahal,Suliyat,23.05244,73.85951,8.08,1068,716,400.0,0.0,366.0,121.0,30.0,64.0,1.2,300.0,116.0,27.0,70.0,19.0,48.0,1.52
374.0,Panchmahal,Natapur,22.81607,73.80137,7.89,711,476,220.0,0.0,244.0,71.0,44.0,32.0,1.48,200.0,44.0,27.0,73.0,1.8,27.0,2.14
375.0,Panchmahal,Ranipura,22.71714,73.7442,7.98,1934,1296,721.0,0.0,354.0,340.0,109.0,140.0,1.9,290.0,68.0,134.0,145.0,2.7,74.0,2.35
376.0,Panchmahal,Godhra UR_1,22.7749,73.63831,8.18,1105,740,220.0,0.0,317.0,177.0,61.0,10.0,0.76,260.0,28.0,36.0,160.0,0.77,44.0,4.69
377.0,Panchmahal,Godhra2,22.7815,73.657,7.98,713,478,240.0,0.0,171.0,71.0,58.0,72.0,1.3,140.0,60.0,22.0,60.0,0.85,65.0,1.68
378.0,Panchmahal,Chhabanpur,22.83649,73.62493,7.96,710,476,210.0,0.0,195.0,99.0,38.0,38.0,0.67,160.0,44.0,24.0,77.0,1.0,49.0,2.31
379.0,Panchmahal,Tuwa,22.80067,73.46539,8.06,724,485,250.0,0.0,378.0,50.0,14.0,5.6,0.59,310.0,44.0,34.0,61.0,14.0,41.0,1.68
380.0,Panchmahal,Dhanol,22.74789,73.48364,7.68,698,468,180.0,0.0,281.0,78.0,31.0,3.1,0.89,230.0,32.0,24.0,90.0,9.1,19.0,2.92
381.0,Panchmahal,Vejalpur,22.69473,73.55976,7.98,1587,1063,520.0,0.0,378.0,284.0,102.0,47.0,0.97,310.0,44.0,100.0,162.0,7.1,42.0,3.09
382.0,Panchmahal,Khadki Vadiya,22.65079,73.52208,8.39,1199,777,300.0,54.0,476.0,78.0,64.0,2.5,1.66,390.0,20.0,56.0,155.0,1.3,37.0,3.64
383.0,Panchmahal,Kalol UR_2,22.62826,73.45678,8.08,1883,1262,631.0,0.0,488.0,326.0,97.0,99.0,0.73,400.0,40.0,129.0,182.0,0.55,43.0,3.15
384.0,Panchmahal,Kalol UR_1,22.61252,73.46307,8.16,1255,841,500.0,0.0,525.0,142.0,27.0,15.0,0.21,430.0,64.0,83.0,83.0,12.0,34.0,1.61
385.0,Panchmahal,Tarkanda,22.5561,73.54096,8.11,464,311,160.0,0.0,159.0,50.0,34.0,2.5,0.46,130.0,32.0,19.0,39.0,1.0,21.0,1.34
386.0,Panchmahal,Pavagadh,22.48311,73.53762,7.75,676,453,290.0,0.0,232.0,78.0,34.0,35.0,0.21,190.0,48.0,41.0,39.0,0.27,276.0,1.0
387.0,Panchmahal,Javan,22.40203,73.65244,7.02,518,347,170.0,0.0,183.0,71.0,23.0,1.4,0.42,150.0,40.0,17.0,43.0,10.0,34.0,1.43
388.0,Panchmahal,Jambughoda,22.3719,73.72468,7.98,840,563,230.0,0.0,207.0,128.0,51.0,28.0,0.86,170.0,37.0,33.0,87.0,0.95,44.0,2.49
389.0,Patan,Dhinoj,23.65926,72.27918,7.34,2369,1587,520.0,0.0,525.0,404.0,166.0,1.6,0.08,430.0,132.0,46.0,308.0,29.0,29.0,5.87
390.0,Patan,Sander,23.76939,72.25458,7.43,370,248,150.0,0.0,207.0,14.0,0.0,1.4,0.1,170.0,40.0,12.0,19.0,3.2,18.0,0.7
391.0,Patan,Patan,23.83876,72.12509,7.77,2378,1593,350.0,0.0,1293.0,85.0,30.0,39.0,2.5,1061.0,72.0,41.0,413.0,27.0,48.0,9.6
393.0,Patan,Dharmoda,23.69631,72.07352,8.19,979,656,180.0,0.0,525.0,57.0,9.0,0.42,0.18,430.0,40.0,19.0,136.0,24.0,26.0,4.41
394.0,Patan,Moti Chander,23.59921,71.77013,7.21,23660,15852,5104.0,0.0,390.0,8012.0,1300.0,22.0,0.59,320.0,581.0,888.0,3425.0,31.0,25.0,20.9
395.0,Patan,Piprala,23.64604,71.09687,7.96,7455,4995,891.0,0.0,830.0,1595.0,533.0,64.0,7.2,681.0,48.0,187.0,1250.0,1.6,69.0,18.2
396.0,Porbandar,Adityana,21.72008,69.68884,7.88,582,390,180.0,0.0,171.0,78.0,37.0,26.42,0.57,140.0,40.0,19.0,62.0,3.74,30.0,2.01
397.0,Porbandar,Adwana2,21.91667,69.6,7.93,993,665,330.0,0.0,268.0,177.0,45.0,21.01,0.23,220.0,48.0,51.0,101.0,0.53,47.0,2.42
398.0,Porbandar,Bakharla,21.76472,69.66111,7.83,733,491,270.0,0.0,207.0,113.0,23.0,44.7,0.53,170.0,60.0,29.0,60.0,3.67,45.0,1.59
399.0,Porbandar,Bhavpura,21.80972,69.40833,7.58,5388,3610,1661.0,0.0,159.0,1829.0,206.0,56.0,0.28,130.0,180.0,294.0,607.0,8.53,54.0,6.48
400.0,Porbandar,Bhod,21.65889,69.82111,7.79,2859,1916,721.0,0.0,195.0,822.0,124.0,81.9,2.22,160.0,144.0,88.0,362.0,2.45,43.0,5.87
401.0,Porbandar,Degam,21.71028,69.60556,8.29,2544,1704,751.0,0.0,488.0,539.0,96.0,23.57,1.0,400.0,176.0,75.0,245.0,40.0,29.0,3.89
402.0,Porbandar,Kadegi,21.45056,69.98333,7.61,26200,17554,801.0,0.0,366.0,9075.0,927.0,25.64,1.4,300.0,172.0,90.0,5489.0,32.0,37.0,83.87
403.0,Porbandar,Khambodar,21.80833,69.60139,8.29,1890,1266,320.0,0.0,500.0,298.0,146.0,31.93,1.5,410.0,40.0,54.0,324.0,12.0,60.0,7.87
404.0,Porbandar,Kolikhada village-2,21.69972,69.61417,8.43,2105,1410,190.0,36.0,598.0,319.0,112.0,54.55,1.9,550.0,24.0,32.0,447.0,1.0,47.0,14.1
405.0,Porbandar,Kuchhadi,21.68333,69.55,8.12,4842,3244,600.0,0.0,390.0,1347.0,313.0,19.96,0.51,320.0,40.0,122.0,896.0,90.0,18.0,15.9
406.0,Porbandar,Kutiyana1,21.63056,70.01667,8.15,3363,2253,510.0,0.0,293.0,872.0,47.0,37.13,0.37,240.0,64.0,85.0,505.0,1.65,52.0,9.72
407.0,Porbandar,Mojiwana,21.88583,69.60028,7.92,1780,1193,550.0,0.0,293.0,432.0,80.0,27.0,0.27,240.0,88.0,80.0,201.0,0.91,62.0,3.73
408.0,Porbandar,Navibandar,21.44583,69.79167,8.24,4849,3249,560.0,0.0,403.0,1219.0,299.0,26.7,0.95,330.0,32.0,117.0,845.0,31.0,7.0,15.53
409.0,Porbandar,Oddar,21.56667,69.68056,8.22,4152,2782,440.0,0.0,427.0,1021.0,266.0,37.6,1.04,350.0,36.0,85.0,739.0,24.0,22.0,15.32
410.0,Porbandar,Palkhada1,21.75833,69.4875,7.75,3215,2154,701.0,0.0,183.0,808.0,93.0,124.0,0.54,150.0,80.0,122.0,361.0,48.0,26.0,5.93
411.0,Porbandar,Ranavav2,21.68333,69.74583,7.92,1312,879,260.0,0.0,329.0,234.0,78.0,49.0,0.4,270.0,64.0,24.0,186.0,49.0,54.0,5.02
412.0,Porbandar,Ratadi,21.72028,69.51194,7.7,5399,3617,1001.0,0.0,134.0,1560.0,313.0,62.0,0.28,110.0,116.0,173.0,475.0,547.0,26.0,6.53
413.0,Porbandar,Simar,21.94694,69.68583,7.91,1256,842,460.0,0.0,159.0,241.0,108.0,65.0,0.28,130.0,100.0,51.0,92.0,0.0,58.0,1.87
414.0,Porbandar,Tukda,21.51611,69.72861,8.12,2567,1720,360.0,0.0,342.0,567.0,145.0,42.0,0.46,280.0,24.0,73.0,402.0,16.0,12.0,9.21
415.0,Porbandar,Visavada,21.78556,69.44639,7.45,8211,5501,1861.0,0.0,61.0,2552.0,471.0,14.0,0.78,50.0,228.0,314.0,993.0,9.48,11.0,10.01
416.0,Rajkot,Rafala,22.29028,70.98361,7.76,3195,2141,1041.0,0.0,244.0,744.0,210.0,159.0,0.32,200.0,112.0,185.0,245.0,1.7,48.0,3.3
417.0,Rajkot,Golida,22.20426,71.01645,7.88,1079,723,330.0,0.0,268.0,142.0,55.0,86.0,0.48,220.0,60.0,44.0,92.0,0.6,54.0,2.2
418.0,Rajkot,Sardhar2,22.13528,70.98722,7.81,1631,1093,290.0,0.0,573.0,170.0,77.0,57.0,0.29,470.0,36.0,49.0,230.0,65.0,42.0,5.87
419.0,Rajkot,Halenda,22.0875,71.05417,7.67,2621,1756,921.0,0.0,488.0,496.0,153.0,156.0,0.42,400.0,100.0,163.0,238.0,6.4,51.0,3.41
420.0,Rajkot,Bhadla,22.17889,71.08667,7.83,1840,1233,590.0,0.0,305.0,326.0,138.0,131.0,0.51,250.0,64.0,105.0,181.0,0.7,49.0,3.24
421.0,Rajkot,Kamlapur,22.13806,71.2,7.61,2992,2005,921.0,0.0,244.0,674.0,201.0,188.0,0.35,200.0,232.0,83.0,234.0,0.7,46.0,3.35
422.0,Rajkot,Jasdan 2,22.05111,71.21833,7.72,894,599,290.0,0.0,293.0,113.0,41.0,16.0,0.2,240.0,52.0,39.0,68.0,0.5,43.0,1.74
423.0,Rajkot,Lalavadar,22.12861,71.30278,7.93,592,397,210.0,0.0,305.0,21.0,21.0,14.0,0.31,250.0,36.0,29.0,53.0,0.7,40.0,1.59
424.0,Rajkot,Vinchhiya,22.20806,71.37806,7.54,4614,3091,1421.0,0.0,268.0,1205.0,248.0,188.0,0.5,220.0,329.0,146.0,443.0,0.5,66.0,5.11
425.0,Rajkot,Mota Dadwa,21.99806,70.99417,7.69,1600,1072,600.0,0.0,281.0,262.0,136.0,81.0,0.37,230.0,124.0,71.0,100.0,0.6,41.0,1.77
426.0,Rajkot,Gogavadar,21.96472,70.88,7.73,1419,951,470.0,0.0,281.0,177.0,156.0,130.0,0.51,230.0,100.0,54.0,125.0,0.8,45.0,2.51
427.0,Rajkot,Chordi,21.91501,70.74549,7.78,849,569,270.0,0.0,256.0,71.0,62.0,77.0,0.25,210.0,84.0,15.0,69.0,0.3,44.0,1.83
428.0,Rajkot,Virpur1,21.84667,70.69278,7.72,1513,1014,420.0,0.0,354.0,177.0,130.0,138.0,0.25,290.0,88.0,49.0,155.0,3.7,51.0,3.29
429.0,Rajkot,Jetpur Pithad,21.78306,70.64083,7.33,3906,2617,1641.0,0.0,256.0,851.0,524.0,64.0,0.19,210.0,325.0,202.0,125.0,0.7,60.0,1.34
430.0,Rajkot,Mota Gundala,22.73667,70.50833,7.82,1157,775,400.0,0.0,232.0,241.0,44.0,1.2,0.43,190.0,44.0,71.0,92.0,0.2,39.0,2.0
431.0,Rajkot,Bhada Jaliya,21.65889,70.33694,7.92,1333,893,180.0,0.0,537.0,170.0,35.0,22.0,0.55,440.0,36.0,22.0,240.0,0.5,49.0,7.78
473.0,Surat,Uchchhal1,21.2,72.83333,7.9,780,523,340.0,0.0,232.0,85.0,46.0,64.0,0.2,190.0,56.0,49.0,28.0,0.21,84.0,0.66
474.0,Surat,Nizar1,21.43333,73.21667,7.88,1362,913,500.0,0.0,305.0,213.0,67.0,120.0,0.8,250.0,60.0,85.0,102.0,0.75,68.0,1.98
475.0,Surat,Mandvi2,21.25417,73.29583,7.79,907,608,340.0,0.0,244.0,106.0,60.0,97.0,0.48,200.0,64.0,44.0,72.0,0.48,59.0,1.7
476.0,Surat,Malda,21.36667,73.35,7.98,820,549,380.0,0.0,366.0,71.0,20.0,24.0,0.3,300.0,92.0,36.0,32.0,2.85,80.0,0.71
477.0,Surat,Katradevi,21.4299,73.42088,7.85,787,527,220.0,0.0,171.0,156.0,44.0,0.0,0.33,140.0,64.0,15.0,90.0,0.56,63.0,2.64
478.0,Surat,Juna umarpada,21.44578,73.49489,7.9,438,293,200.0,0.0,183.0,43.0,25.0,8.37,0.3,150.0,52.0,17.0,19.0,0.31,51.0,0.58
479.0,Surat,Kherwa(Vadli),21.43333,73.21667,7.93,700,469,250.0,0.0,268.0,85.0,42.0,4.35,0.43,220.0,52.0,29.0,59.0,0.38,50.0,1.62
480.0,Surat,Ten-bardoli,21.11667,73.1,8.1,766,513,200.0,0.0,268.0,71.0,28.0,2.56,0.46,220.0,36.0,27.0,75.0,2.39,55.0,2.31
481.0,Surat,Allu,21.0625,73.19167,8.27,620,415,230.0,0.0,268.0,43.0,29.0,4.6,0.98,220.0,36.0,34.0,44.0,0.13,35.0,1.26
482.0,Surat,Moti Sarkui,21.27917,73.34972,8.29,590,395,250.0,0.0,207.0,64.0,29.0,21.3,0.48,170.0,48.0,32.0,31.0,0.43,60.0,0.86
483.0,Surat,Jiav,21.11472,72.83528,8.06,2404,1611,801.0,0.0,110.0,702.0,75.0,1.75,0.14,90.0,224.0,58.0,178.0,16.0,18.0,2.74
484.0,Surat,Mahuva2,21.02083,73.14583,8.43,1546,1036,270.0,36.0,500.0,199.0,53.0,42.5,0.75,470.0,24.0,51.0,265.0,0.66,44.0,7.01
485.0,Surat,Puna1,20.92917,73.22917,8.16,4056,2718,1651.0,0.0,757.0,1021.0,89.0,12.73,0.75,620.0,204.0,277.0,254.0,20.0,44.0,2.72
486.0,Surat,Vaheval,20.83722,73.28778,8.25,645,432,260.0,0.0,195.0,92.0,33.0,13.74,0.34,160.0,48.0,34.0,41.0,0.34,42.0,1.11
487.0,Surat,Sarbhon,21.05833,73.09167,8.25,901,604,240.0,0.0,366.0,71.0,53.0,2.53,1.17,300.0,28.0,41.0,103.0,2.1,40.0,2.89
488.0,Surat,Mota,21.17028,73.06861,8.29,2475,1658,300.0,0.0,512.0,510.0,140.0,17.2,0.83,420.0,28.0,56.0,478.0,1.63,27.0,12.0
489.0,Surat,Miyawadi,21.22389,73.22722,7.15,1346,902,530.0,0.0,573.0,135.0,28.0,58.25,1.19,470.0,96.0,71.0,94.0,9.01,66.0,1.78
490.0,Surat,Kasal,21.28333,73.23333,7.5,858,575,430.0,0.0,281.0,85.0,61.0,55.0,0.26,230.0,84.0,54.0,21.0,0.38,56.0,0.44
491.0,Surat,Nogama,21.31667,73.13333,7.5,672,450,260.0,0.0,232.0,64.0,43.0,42.0,0.35,190.0,56.0,29.0,51.0,0.36,54.0,1.38
492.0,Surat,Ushker,21.31389,73.15833,7.5,605,405,200.0,0.0,220.0,43.0,33.0,32.45,0.31,180.0,40.0,24.0,51.0,1.74,47.0,1.57
493.0,Surat,Dungri,21.40833,73.13333,7.9,1736,1163,500.0,0.0,635.0,241.0,42.0,40.0,0.75,520.0,112.0,54.0,187.0,7.18,70.0,3.64
494.0,Surat,Surat(Gaviyar),21.175,72.79167,7.4,648,434,210.0,0.0,293.0,35.0,19.0,4.39,0.37,240.0,80.0,2.0,37.0,12.0,29.0,1.11
495.0,Surat,Sultanabad,21.09167,72.725,8.0,1028,689,320.0,0.0,403.0,113.0,53.0,19.23,0.14,330.0,20.0,66.0,100.0,19.0,32.0,2.43
496.0,Surat,Olpad2,21.34167,72.75833,7.7,1406,942,200.0,0.0,598.0,142.0,48.0,28.07,0.62,490.0,20.0,36.0,196.0,115.0,33.0,6.03
497.0,Surat,Sayan,21.30556,72.91083,7.72,1999,1339,651.0,0.0,244.0,475.0,216.0,17.37,0.29,200.0,44.0,131.0,206.0,1.25,84.0,3.51
498.0,Surat,Kathor,21.29167,72.92917,7.9,1766,1183,530.0,0.0,342.0,184.0,377.0,35.01,0.4,280.0,36.0,107.0,198.0,1.1,42.0,3.74
499.0,Surendranagar,Olak,22.92778,71.88611,7.65,495,332,100.0,0.0,171.0,57.0,29.0,1.2,0.76,140.0,36.0,2.0,61.0,8.8,44.0,2.65
500.0,Surendranagar,Lakhtar,22.85472,71.78667,7.73,595,399,130.0,0.0,268.0,50.0,27.0,2.8,1.66,220.0,40.0,7.0,80.0,7.3,26.0,3.05
501.0,Surendranagar,Dedarda,22.78333,71.73611,7.72,651,436,160.0,0.0,293.0,50.0,22.0,8.4,1.1,240.0,56.0,5.0,85.0,6.9,35.0,2.92
502.0,Surendranagar,Tavi 1,22.72229,71.85795,7.43,214,143,60.0,0.0,85.0,21.0,7.0,5.9,0.27,70.0,16.0,5.0,25.0,2.3,23.0,1.4
503.0,Surendranagar,Shiyani,22.6625,71.82972,7.85,1113,746,90.0,0.0,134.0,213.0,135.0,1.3,0.87,110.0,20.0,10.0,205.0,5.7,18.0,9.4
504.0,Surendranagar,Ghaghretiya,22.62583,71.82861,7.79,2251,1508,230.0,0.0,220.0,355.0,420.0,3.6,1.5,180.0,32.0,36.0,410.0,13.0,28.0,11.75
505.0,Surendranagar,Borana,22.51417,71.83806,7.74,4989,3343,530.0,0.0,146.0,787.0,1282.0,7.9,0.51,120.0,88.0,75.0,882.0,1.9,21.0,16.66
506.0,Surendranagar,Vanala,22.43417,71.92167,7.32,1407,943,220.0,0.0,98.0,355.0,125.0,14.0,0.42,80.0,52.0,22.0,239.0,4.6,32.0,7.01
