Sl.,District,Site,pH,EC,TDS,CO3,HCO3,Cl,NO3,SO4,F, Alk,Ca,Mg,TH,Na,K,SAR
55,Anand,Bhadran,7.93,635,425.45,0,342,35,0.33,20,0.28,281,64,27,270,32,1.3,0.85
56,Anand,Ras,8.09,1442,966.14,0,659,149,16,25,4.5,541,28,22,160,284,8.5,9.76
57,Anand,Dali,8.18,3721,2493.07,0,805,808,12,154,3.4,660,80,85,550,605,21,11.22
58,Anand,Kansari,8.19,4565,3058.55,0,744,1035,46,262,1.6,610,88,90,590,784,10,14.03
59,Anand,Dharmaj,9.23,2488,1666.96,180,573,262,79,154,2.2,770,12,44,210,498,0.13,14.94
60,Anand,Bandhani,8.52,1834,1228.78,36,903,106,28,38,2.3,801,8,27,130,408,0.56,15.56
61,Aravalli,Punasan,7.9,810,542.7,0,256,64,36,90,1.75,209.97,72,17,250,77,0.49,2.12
62,Aravalli,Shamlaji,8,501,335.67,0,220,50,3,15,0.51,180,36,4.9,110,70,0.85,2.9
63,Aravalli,Bhiloda,7.74,1173,785.91,0,305,156,37,140,0.85,250,84,45,395,105,2.85,2.3
64,Aravalli,Takatuka,7.7,3100,2077,0,244,724,108,145,1.01,200,176,73,740,381,1.52,6.09
65,Aravalli,Gadada,7.6,1758,1177.86,0,317,227,140,207,0.98,260,112,78,600,116,0.76,2.06
66,Aravalli,Madasana,7.69,1034,692.78,0,183,170,60,127,0.73,150,84,29,330,106,2.1,2.54
67,Aravalli,Modasa2,7.62,963,645.21,0,232,128,55,56,0.13,190,112,2.5,290,82,2.6,2.09
68,Aravalli,Seenawad,7.44,1427,956.09,0,305,227,109,100,0.46,250,144,34,500,97,11.5,1.89
69,Aravalli,Megraj_1,7.53,810,542.7,0,268,99,8.7,76,0.4,220,48,17,190,109,1.9,3.44
70,Aravalli,Hamirpur,7.49,1509,1011.03,0,293,256,85,132,0.63,240,144,29,480,125,0.99,2.48
71,Aravalli,Malpur_1,7.59,807,540.69,0,280,64,106,11,0.72,230,76,39,350,26,0.42,0.6
72,Aravalli,Sathamba,7.94,918,615.06,0,366,43,18,90,0.74,300,56,46,330,58,1.6,1.39
73,Aravalli,Boral,7.69,3142,2105.14,0,268,824,125,77,0.49,220,304,15,820,398,1.1,6.04
74,Aravalli,Bibipur1,7.5,3190,2137.3,0,256,568,440,240,0.31,210,272,170,1380,95,3.5,1.11
75,Aravalli,Alwa Kampa,7.87,1146,767.82,0,378,99,36,122,0.57,310,52,53,350,92,0.5,2.14
76,Aravalli,Karanpur,7.84,682,456.94,0,122,99,38,90,0.72,100,56,19,220,60,0.4,1.76
77,Aravalli,Dhansura,7.8,1350,904.5,0,366,156,74,85,0.47,300,168,24,520,69,0.55,1.32
78,Banaskantha,Amirgadh,7.02,3275,2194,0,586,709,125,116,0.78,480,140,151,971,330,3.1,4.6
79,Banaskantha,Bharol1,7.14,825,553,0,378,78,5.3,17,0.64,310,76,27,300,40,52,1
80,Banaskantha,Dantiwada,7.04,620,415,0,281,50,30,17,0.42,230,80,17,270,33,1.1,0.9
81,Banaskantha,Ganapipli,7.08,918,615,0,390,78,33,39,2.1,320,76,34,330,81,2,1.9
82,Banaskantha,Gangodra,7.12,3494,2341,0,671,709,0.96,144,3.5,550,204,85,861,335,19,5
83,Banaskantha,Iqbalgarh,7.38,810,543,0,329,57,54,23,0.58,270,76,34,330,45,1,1.1
84,Banaskantha,Jhat,7.68,2000,1340,0,476,355,0.24,137,1.6,390,28,27,180,375,4.2,12.2
85,Banaskantha,Khoda,7.66,1575,1055,0,573,177,22,107,1.9,470,20,19,130,320,13,12.2
86,Banaskantha,Mohabbat gadh,7.17,1488,997,0,305,262,73,68,1.3,250,156,22,480,110,3.6,2.2
87,Banaskantha,Palanpur2,7.48,1579,1058,0,427,248,103,67,0.8,350,76,46,380,210,0.7,4.7
88,Banaskantha,Ratanpur2,7.08,1480,992,0,268,233.97,155,93,0.39,220,188,22,560,95,2.5,1.7
89,Banaskantha,Sodapur,7.45,915,613,0,403,78,19,38,2.2,330,32,19,160,158,2.8,5.4
90,Bharuch,Kalak1,7.01,835,559.45,0,354,64,15,24,1.5,290.348,80,12,250,60,36,1.65
91,Bharuch,Tankari,7.93,4492,3009.64,0,879,908,13,227,0.66,720.95,96,158,891,544,113,7.93
92,Bharuch,Sindhav,8,567,379.89,0,268,35,1.4,18,0.34,220,32,15,140,66,14,2.43
93,Bharuch,Chhindra,7.84,850,569.5,0,378,64,21,31,0.42,310,64,27,270,59,55,1.56
94,Bharuch,Dahegam,7.76,1644,1101.48,0,512,213,61,85,0.19,420,96,63,500,133,49,2.59
95,Bharuch,Kavi,8.2,2962,1984.54,0,854,312,121,157,0.39,700,40,44,280,190,510,4.94
96,Bharuch,Sarod,8.02,735,492.45,0,293,85,7.2,17,0.45,240,48,34,260,55,16,1.48
97,Bharuch,Roja Tankaria,7.59,1739,1165.13,0,476,326,5.8,34,0.36,390,132,49,530,131,46,2.47
98,Bharuch,Nirnavi,7.57,595,398.65,0,329,28,7.7,8.5,0.62,270,48,12,170,66,12,2.2
99,Bharuch,Luhala,8.14,2526,1692.42,0,732,255,115,164,0.5,600,40,54,320,255,315,6.2
100,Bharuch,Bhensali,7.91,1006,674.02,0,305,142,5.2,72,0.54,250,48,27,230,119,17,3.41
101,Bharuch,Mahegam,7.79,1579,1057.93,0,476,269,0.73,74,0.28,390,116,68,570,92,36,1.68
102,Bharuch,Kaswa,7.93,450,301.5,0,207,35,4.7,13,0.45,170,44,12,160,37,3.4,1.27
103,Bharuch,Navetha,7.81,695,465.65,0,305,92,2.5,2.1,0.32,250,64,27,270,34,23,0.9
104,Bharuch,Bharuch,7.75,2416,1618.72,0,635,347,1.2,129,0.31,521,144,85,711,206,5.3,3.36
105,Bharuch,Sajod,8.58,2035,1363.45,72,683,191,11,58,3.2,680,16,36,190,400,2.8,12.6
106,Bharuch,Utraj,7.88,475,318.25,0,207,28,2.8,17,0.45,170,48,10,160,35,0.69,1.2
107,Bharuch,Jetpur,7.68,1750,1172.5,0,451,347,11,67,0.86,370,96,32,370,240,36,5.42
108,Bharuch,Sahol,7.62,5499,3684.33,0,281,1390,298,360,0.68,230,521,117,1781,390,3.1,4.02
109,Bharuch,Raymal,7.92,3069,2056.23,0,281,752,5.7,69,0.61,230,76,100,600,340,14,6.03
110,Bharuch,Motwan,7.98,3445,2308.15,0,464,794,3.3,287,0.72,381,124,71,600,602,12,10.69
111,Bharuch,Panoli,7.9,2502,1676.34,0,537,447,29,229,1.6,440,40,39,260,495,0.75,13.35
112,Bharuch,Kondh,7.78,847,567.49,0,305,71,20,58,0.99,250,48,19,200,97,6.3,2.98
113,Bharuch,Mungaj,7.48,528,353.76,0,305,14,1.5,14,0.13,250,56,27,250,19,0.3,0.52
114,Bhavnagar,Panvi1,8.22,1798,1205,0,940,106,2.9,52,3.9,771,16,15,100,408,4.6,17.74
115,Bhavnagar,Aayodhyapuram,8.02,1351,905,0,561,156,33,37,1.9,460,28,10,110,278,7.6,11.52
116,Bhavnagar,Vallabhipur,8.2,4290,2874,0,451,1021,12,380,0.79,370,84,58,450,767,9.3,15.72
117,Bhavnagar,Timbi,7.23,388,260,0,183,28,0.61,21,0.45,150,32,10,120,40,1.7,1.59
118,Bhavnagar,Jalia,7.38,2464,1651,0,427,553,27,170,0.4,350,216,112,1001,148,3.8,2.03
119,Bhavnagar,Motivadal,8.2,1273,853,0,476,170,28,81,0.29,390,92,68,510,110,9.2,2.12
120,Bhavnagar,Dudhala,8.19,1873,1255,0,415,362,71,99,0.5,340,44,63.232,370,287,6.7,6.49
121,Bhavnagar,Mahuva,8.22,4600,3082,0,830,1014,68,190,0.87,681,24,36.48,210,1007,1.9,30.21
122,Bhavnagar,Bora,8.56,1566,1049,72,647,78,55,54,2,651,16,7.296,70,364,1.7,18.92
123,Bhavnagar,Datha,8.08,1228,823,0,366,213,7.3,51,1.3,300,28,14.592,130,238,6.7,9.08
124,Bhavnagar,Longadi,8.05,668,448,0,293,64,4.5,31,0.57,240,36,14.592,150,85,27,3.02
125,Bhavnagar,Pasvi,7.75,805,539,0,342,64,31,46,0.3,280,60,43.776,330,50,5.9,1.2
126,Bhavnagar,Kundheli,7.85,1203,806,0,244,241,32,83,0.34,200,80,48.64,400,105,0.9,2.28
127,Bhavnagar,Talaja2,8.06,1240,831,0,415,142,94,61,0.51,340,92,63,490,89,0.56,1.75
128,Bhavnagar,Trapaj,7.02,1518,1017,0,317,163,185,160,0.31,260,176,56,671,57,0.47,0.96
129,Bhavnagar,Vavdi,7.43,1010,677,0,342,78,70,110,0.36,280,52,66,400,65,0.99,1.41
130,Bhavnagar,Bhumbhali,8.09,4605,3085,0,696,858,7.7,637,0.63,570,80,88,560,820,17,15.0658
131,Bhavnagar,Ghogha,8.36,3279,2197,72,488,546,181,194,0.28,520,96,41,410,500,53,10.7362
132,Bhavnagar,Bhavnagar1,7.82,1268,850,0,403,184,38,74,0.38,330,60,24,250,208,0.77,5.7196
133,Bhavnagar,Ambala,8.03,411,275,0,195,28,1.9,16,0.45,160,28,15,130,40,1.8,1.53
134,Bhavnagar,Piperla,7.66,888,595,0,317,92,34,52,0.26,260,84,34,350,48,0.77,1.12
135,Bhavnagar,Palitana2,7.21,950,637,0,366,113,10,51,0.26,300,92,34,370,57,6.22,1.29
136,Bhavnagar,Sajnasar,7.77,895,600,0,378,78,27,49,0.42,310,76,34,330,65,3.1,1.56
137,Bhavnagar,Vadal,7.84,1055,707,0,305,142,100,52,0.32,250,72,56,410,80,0.48,1.72
138,Bhavnagar,Ningala,8.09,598,401,0,256,57,8.4,32,0.45,210,16,12,90,105,0.67,4.81
139,Bhavnagar,Dhasa,8.19,861,577,0,305,92,39,48,0.33,250,68,24,270,94,0.32,2.49
140,Bhavnagar,Gariyadhar,8.15,1523,1020,0,207,319,94,142,0.45,170,60,68,430,190,0.46,3.99
141,Bhavnagar,Panchpipla,8.14,1156,775,0,366,170,26,73,0.55,300,40,49,300,157,0.2,3.94
142,Bhavnagar,Khijadiya,8.18,2267,1519,0,512,432,23,108,1.28,420,40,44,280,390,0.16,10.13
143,Bhavnagar,Gadhada2,8.11,814,545,0,366,78,10,32,0.31,300,80,22,290,69,7.97,1.76
144,Bhavnagar,Tatam,8.08,5062,3392,0,317,1283,365,288,0.48,260,289,316,2022,322,1.52,3.11
145,Bhavnagar,Tardhera,8.23,1812,1214,0,244,319,234,99,0.42,200,116,90,661,114,1.04,1.93
146,"ChhotaUdaipur",Govindpur,7.96,6995,4686.65,0,500,2028,20,488,1.9,410,148.296,297,1591,1000,5.8,10.9
147,"ChhotaUdaipur",Alhadpura,8.02,1049,702.83,0,427,113,32,41,1.1,350,44.088,51,320,110,2.8,2.67
148,"ChhotaUdaipur",Pitha,7.96,865,579.55,0,293,113,47,18,0.9,240,52.104,54,350,57,1.9,1.32
149,"ChhotaUdaipur",Kaprali,7.78,632,423.44,0,281,28,54,22,0.67,230,68,24,270,36,1.5,0.95
150,"ChhotaUdaipur",Sengpur,7.72,541,362.47,0,268,28,22,14,0.57,220,60,22,240,27,0.3,0.76
151,"ChhotaUdaipur",Motichikli,7.78,648,434.16,0,317,28,19,28,3.6,260,64,22,250,50,0.41,1.37
152,"ChhotaUdaipur",Bhindol,8.2,1750,1172.5,0,976,92,3.9,26,4,801,28,68,350,285,0.77,6.62
153,"ChhotaUdaipur",Chavaria,7.86,1449,970.83,0,439,199,101,55,4.05,360,64,61,410,178,2.6,3.8
154,"ChhotaUdaipur",Panvad,8.02,1498,1003.66,0,549,177,20,100,1.8,450,36,34,230,272,4.4,7.8
155,"ChhotaUdaipur",Chhota Udaipur,7.53,828,554.76,0,207,85,40,59,1,170,60,21.888,240,74,0.71,2.08
156,"ChhotaUdaipur",Ferkuva,7.57,642,430.14,0,244,71,37,23,0.45,200,88,19.456,300,17,3.4,0.43
157,"ChhotaUdaipur",Ghhamodi,7.72,516,345.72,0,232,50,1.6,13,1.1,190,48,9.728,160,50,0.86,1.72
158,"ChhotaUdaipur",Kevadi,7.54,518,347.06,0,220,43,9.3,21,0.93,180,60,9.728,190,39,0.22,1.23
159,"ChhotaUdaipur",Pavi,8,2007,1344.69,0,525,376,12,132,0.95,431,128,38.912,480,258,10,5.12
160,Dahod,Salaya,7.92,890,596.3,0,366,78,7.4,38,0.6,300,84,12,260,88,2.1,2.37
161,Dohad,Wadia,8.1,2323,1556.41,0,219,483,65,185,1.7,180,208,68,800,160,10,2.46
162,Dohad,Limbdi,7.83,779,521.93,0,329,78,1.3,15,0.79,270,68,7.3,200,89,5.18,2.74
163,Dohad,Sukhsar,7.69,844,565.48,0,317,50,55,35,0.97,260,80,4.9,220,89,1.9,2.61
164,Dohad,Sarsava,7.74,383,256.61,0,183,29,8,5,0.48,150,52,0,130,31,7.77,1.18
165,Dohad,Bapda,7.96,1172,785.24,0,366,135,20,72,0.91,300,44,17,180,184,2.67,5.96
166,Dohad,Devgadh bariya,8.2,918,615.06,0,220,142,16,67,0.96,180,40,27,210,119,3.3,3.57
167,Dohad,Khandania,7.88,699,468.33,0,317,28,24,20,1,260,60,15,210,57,1.5,1.71
168,Dohad,Tokarba,8.04,981,657.27,0,378,107,4,37,1,310,84,10,250,112,2.57,3.08
169,Dohad,Kanjetha,8.09,753,504.51,0,378,43,9.4,2,0.97,310,68,10,210,77,3,2.31
170,Dohad,Dhanpur,7.98,1700,1139,0,512,227,30,98,1.3,420,184,34,600,117,11.6,2.08
171,Dohad,Amba Katch,8.19,1075,720.25,0,390,85,70,38,1.2,320,80,24,300,108,9,2.71
172,Dohad,Garbara,7.9,8180,5480.6,0,463,1740,822,396,6.8,380,120,389,1900,1079,28.5,10.76
173,Dohad,Panchwada,8.15,907,607.69,0,390,64,24,24,1.76,320,16,75,350,48,3.69,1.12
174,Dohad,Varamkheda,8.11,580,388.6,0,220,50,30,11,1,180,28,41,240,24,1.54,0.67
175,Dohad,Dahod Urban-3,7.88,1641,1099.47,0,317,220,137,97,0.74,260,48,80,450,179,3.39,3.67
176,Dohad,Dahod Urban-2,7.97,2311,1548.37,0,317,390,155,175,3.45,260,52,136,690,250,4.94,4.14
177,Dohad,Dahod Urban-1,8.06,633,424.11,0,171,57,56,31,1.16,140,40,36,250,25,0.38,0.69
178,Dohad,Mirakhedi,8.11,863,578.21,0,256,85,32,50,0.88,210,56,54,360,26,0.85,0.6
179,Dohad,Dahod2,7.97,1771,1186.57,0,342,291,76,43,2.3,281,28,90,440,160,2.27,3.32
180,Dohad,Dadhela,8.16,712,477.04,0,232,64,30,38,1.26,190,36,41,260,43,4.36,1.16
181,Daman,Warkund,8.08,676,452.92,0,293,71,2,22,0.77,240,36,34,230,65,0.5,1.87
182,Daman,Dalwada,8.14,688,460.96,0,293,64,15,34,0.31,240,48,36,270,50,3.8,1.33
183,Dangs-Ahwa,Mehskatri,7.73,516,345.72,0,281,21,3,18,0.2,230,68,15,230,23,0.34,0.66
184,Dangs-Ahwa,Kalibel,8.09,695,465.65,0,305,50,3,69,0.52,250,64,32,290,45,0.55,1.14
185,Dangs-Ahwa,Sodmal,8.25,714,478.38,0,366,36,11,27,0.94,300,40,46,290,48,0.22,1.23
186,Dangs-Ahwa,Bardipada,8.21,2590,1735.3,0,598,483,15,170,0.86,490,56,56,370,459,2.07,10
187,Dangs-Ahwa,Mahal,8.24,1028,688.76,0,390,107,2,65,1.14,320,36,39,250,125,2.37,3.44
188,Dangs-Ahwa,Subir,8.14,1045,700.15,0,549,64,3,43,0.51,450,72,49,380,85,2.64,1.9
189,Dangs-Ahwa,Ghubita,7.73,925,619.75,0,268,149,1,30,0,220,76,24,290,67,7.1,1.7
190,Dangs-Ahwa,Ahwa1,8.13,1130,757.1,0,451,128,18,60,0,370,40,61,350,101,20,2.34
191,Dangs-Ahwa,Umberpada,8.34,1028,688.76,48,427,57,16,33,0.35,430,40,63,360,97,0.64,2.21
192,Dangs-Ahwa,Chichpada,7.8,1629,1091.43,0,659,199,36,45,1.12,541,104,63,520,175,7.5,3.34
193,Dangs-Ahwa,Dhumkhal,7.81,872,584.24,0,403,64,17,33,0.47,331,76,41,360,50,0.5,1.15
194,Dangs-Ahwa,Jakana,8.1,940,629.8,0,403,107,12,45,0.31,331,112,41,450,31,0.85,0.64
195,Dangs-Ahwa,Malegaon,8.27,746,499.82,0,159,135,2,35,0.23,130,48,22,210,70,0.64,2.1
196,Dangs-Ahwa,Baripada,7.12,1080,723.6,0,317,121,100,84,0.5,260,68,56,400,85,1.15,1.84
197,Dangs-Ahwa,Chikhli,8.1,542,363.14,0,232,43,19,31,0.22,190,64,19,240,28,0.45,0.78
198,Dangs-Ahwa,Aherdi,8.01,685,458.95,0,317,43,9,33,0.39,260,60,34,290,38,1.92,1.02
199,Dangs-Ahwa,Nana pada,7.95,706,473.02,0,244,92,24,43,0.27,200,64,36,310,36,0.25,0.89
200,Dangs-Ahwa,Sakarpatal,7.91,655,438.85,0,281,43,43,36,0.34,230,48,29,240,62,2.07,1.77
201,Dangs-Ahwa,Jamalpada,8.15,929,622.43,0,329,142,1,43,0.85,270,48,46,310,93,1.36,2.3
202,Dangs-Ahwa,Waghai,7.85,1550,1038.5,0,171,376,18,140,0.3,140,136,54,560,115,0.92,2.11
203,Dangs-Ahwa,Chinchnogaotha,7.82,1063,712.21,0,476,92,32,30,0.57,390,72,51,390,87,8.33,1.91
204,Dangs-Ahwa,Nadak khadi,8.27,1084,726.28,0,305,135,60,60,0.8,250,40,66,370,97,0.34,2.19
205,Dangs-Ahwa,Bori Goatha 1,8.17,628,420.76,0,354,28,4,13,0.14,290,44,41,280,24,0.83,0.63
206,Dangs-Ahwa,Vanzat Amba,7.43,655,438.85,0,232,78,15,35,0.43,190,56,27,250,50,2.5,1.37
207,Diu,Jalawadi,7.88,10250,6868,0,281,3545,1.1,118,0.31,230,569.136,357.504,2892,1082,52,8.75
208,Diu,Moiwachawadi,7.98,4940,3310,0,378,1205,127,322,0.62,310,196.392,172.672,1201,538,64,6.75
209,Diu,Gomtimata,8.19,3468,2324,0,610,709,104,189,0.64,500,68,116.736,651,508,39,8.66
210,Gandhinagar,Paliya,7.41,2460,1648,0,598,362,107,109,1.4,490,88,117,701,250,3.5,4.1
211,Gir Somnath,Ankolwadi,7.2,1111,744.37,0,488,85,8,30,0.27,400,68,49,370,85,0.88,1.92
212,Jamnagar,Amaliya Chokdi,7.04,3021,2024.07,0,366,780,13,112,2.3,300,140,122,850,299,7.19,4.46
213,Jamnagar,Ambardi,7.43,1920,1286.4,0,464,298,86,84,1.3,381,80,77,515,204,2.16,3.91
214,Jamnagar,Amran1,6.64,478,320.26,0,134,78,3,13,0.62,110,24,22,150,41,4.79,1.46
215,Jamnagar,Aramda or Arambhada,7.47,2350,1574.5,0,549,426,5,110,4.3,450,48,46,310,370,31.17,9.14
216,Jamnagar,Balwa,7.26,1425,954.75,0,342,191,114,75,0.25,281,136,54,560,68,0.36,1.25
217,Jamnagar,Bangour  Choukdi,7.27,755,505.85,0,183,78,84,45,0.27,150,72,27,290,40,0.56,1.02
218,Jamnagar,Bed1,7.67,1560,1045.2,0,403,301,5,14,0.97,331,180,58,690,37,1.92,0.61
219,Jamnagar,Bedanpur,7.72,8000,5360,0,488,2057,72,572,0.6,400,32,272,1200,1290,2.32,16.19
220,Jamnagar,Bhadthar,7.61,880,589.6,0,268,113,15,48,0.68,220,48,41,290,68,1.45,1.74
221,Jamnagar,Bhatia,7.62,2550,1708.5,0,342,468,14,309,2.2,281,140,71,640,278,28.17,4.78
222,Jamnagar,Bhogat1,7.34,2025,1356.75,0,220,454,82,121,2.2,180,116,46,480,240,5.67,4.76
223,Jamnagar,Changa,7.13,1746,1169.82,0,305,340,64,88,0.17,250,144,68,640,105,0.6,1.8
224,Jamnagar,Dhrol2,7.36,2110,1413.7,0,488,369,63,86,0.32,400,76,83,530,242,1.56,4.57
225,Jamnagar,Drafa,7.56,1425,954.75,0,329,248,87,24,0.69,270,80,85,550,75,0.37,1.39
226,Jamnagar,Dudhai2(Jam Dudhai),7.51,950,636.5,0,329,71,3,99,0.8,270,44,28,225,113,1.44,3.28
227,Jamnagar,Dwarka,7.36,2533,1697.11,0,439,574,24,78,0.48,360,80,111,655,264,29.52,4.48
228,Jamnagar,Gordhanpur,7.49,1950,1306.5,0,207,560,4,20,0.36,170,108,56,500,220,2.66,4.28
229,Jamnagar,Falla,7.75,1325,887.75,0,329,227,2,66,1.7,270,20,56,280,175,0.13,4.55
230,Jamnagar,Humbusar),7.87,1892,1267.64,0,500,369,2,8,0.87,410,40,5,120,360,30.98,14.29
231,Jamnagar,Hanzarapur),7.07,530,355.1,0,134,67,1,53,0.37,110,48,22,210,18,8.5,0.54
232,Jamnagar,Haripur2,7.22,1120,750.4,0,305,206,10,13,0.53,250,92,36,380,83,0.37,1.85
233,Jamnagar,Hadiyana,7.51,818,548.06,0,195,50,5,167,0.45,160,36,56,320,40,2.39,0.97
234,Jamnagar,Jambuda,7.11,2565,1718.55,0,232,702,56,48,0.29,190,168,128,945,151,5.25,2.14
235,Jamnagar,Jamnagar2,7.36,940,629.8,0,354,92,3,48,0.43,290,44,36,260,96,0.65,2.59
236,Jamnagar,Juvanpur,7.23,1555,1041.85,0,354,248,58,81,0.36,290,60,88,510,125,1.97,2.41
237,Jamnagar,Khajuda,6.98,4630,3102.1,0,305,1312,57,157,0.21,250,400,165,1680,290,3.19,3.08
238,Jamnagar,Kalawad,7.13,625,418.75,0,183,78,4,47,0.4,150,40,26,205,48,2.91,1.46
239,Jamnagar,Kalyanpur,7.54,1880,1259.6,0,378,340,65,89,3.3,310,52,73,430,235,1.44,4.93
