S.No,District,Taluka,Location,pH,EC,TDS,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,NO3,SO4,F,Alk,Fe
18,Amreli,DHARI,Chalala,7.62,4292,2876,1240,56,268,412,0.7,0,207,1051,210,283,0.15,170,0.962
19,Amreli,KUNDLA-SAVAR,Charkhadia1,8.47,2284,1530,120,40,5,477,3.7,192,647,156,35,50,1.15,850,0.059
20,Amreli,LATHI,Chavand,8.13,528,354,200,36,27,52,0.3,0,268,28,14,40,0.35,220,0.162
21,Amreli,DHARI,Dharangani,7.82,1690,1132,420,72,58,185,0.3,0,207,341,130,57,0.4,170,0
22,Amreli,KUNDLA-SAVAR,Goradka,7.72,1488,997,590,112,75,73,0.3,0,207,270,150,69,0.31,170,0
23,Amreli,AMRELI,Govadka,7.77,3157,2115,740,112,112,380,0.9,0,293,625,240,229,0.34,240,0.014
24,Amreli,JAFRABAD,Jafrabad,7.87,2749,1842,200,72,5,499,39.1,0,85,753,18,119,0.48,70,0.045
25,Amreli,DHARI,Kerala,8.28,1746,1170,250,56,27,287,4.6,0,598,241,31,13,0.25,490,0.073
26,Amreli,KHAMBHA,Khamba,8.15,979,656,260,28,46,105,1.7,0,305,64,75,82,0.2,250,1.132
27,Amreli,BABRA,Kotadapitha,7.99,338,226,150,36,24,19,3,0,183,14,8,14,0.2,150,3.03
28,Amreli,KUNKAVAV-VADIA,Kunkavav,7.8,2390,1601,720,124,100,250,1.5,0,85,680,190,65,0.4,70,0.024
29,Amreli,LATHI,Lathi,7.9,1258,843,280,36,46,177,0.4,0,354,178,49,77,0.25,290,0.09
30,Amreli,JAFRABAD,Lotpur,8.24,2368,1587,340,48,54,390,3.2,0,305,497,13,206,0.89,250,0.19
31,Amreli,LATHI,Luvariya,8.28,1085,727,140,28,17,221,7.2,0,549,50,29,68,2,450,0.152
32,Amreli,RAJULA,Mandal,7.77,2854,1912,820,136,117,266,5.1,0,256,639,165,136,0.5,210,0.069
33,Amreli,DHARI,Morjhar,8,734,492,230,28,39,66,0.8,0,244,107,18,5,0.31,200,0
34,Amreli,JAFRABAD,Nageshri,7.55,3189,2137,1100,184,157,215,9.9,0,232,639,320,198,0.15,190,0.042
35,Amreli,KUNDLA-SAVAR,Piyava,8.28,1484,994,180,12,36,280,0.3,0,549,78,41,185,0.65,450,0.23
36,Amreli,LILIA,Punjapadar,8.42,993,665,70,24,2,189,4.7,96,256,43,8,38,1.25,370,0.382
37,Amreli,LATHI,Tajpur,8.07,332,222,130,32,12,24,2.2,0,146,28,10,13,0.2,120,1.618
38,Amreli,JAFRABAD,Timbi2,7.72,2623,1757,420,32,83,404,18.4,0,378,582,30,126,0.7,310,Leaked
39,Amreli,KHAMBHA,Trakuda,7.99,940,630,210,72,7,125,9.8,0,207,156,32,60,0.42,170,0
40,Amreli,BABRA,Untvad,7.85,982,658,340,76,36,72,0.5,0,183,99,225,22,0.34,150,0.07
41,Amreli,BAGASARA,Vaghania juna,7.9,1785,1196,280,40,44,276,8.4,0,500,199,115,88,0.64,410,0.097
42,Amreli,AMRELI,Vankiya,8.21,936,627,110,24,12,181,1.2,0,378,99,31,24,0.87,310,0.234
43,Amreli,RAJULA,Victor,8.92,1322,886,90,10,12,248,11.2,48,403,128,4,27,1.66,410,0
44,Amreli,DHARI,Virpur,8.07,1024,686,450,104,46,61,14,0,488,78,25,48,0.5,400,0.329
45,Amreli,Amreli,Bhilidi,7.7,1867,1251,610,96,90,169,0.4,0,207,369,190,121,0.34,170,0.234
46,Amreli,Savar Kundla,Fifad,8.28,4239,2840,360,16,78,799,0.7,0,1025,753,42,138,1.4,840,0
47,Amreli,Jafrabad,Hinderana(Charnara),8.28,4390,2941,180,24,29,937,11.7,0,854,937,10,160,1.52,700,0.06
48,Amreli,Savar Kundla,Hipavadli,9.24,2417,1619,280,24,54,429,0.5,192,854,85,70,10,1.45,1020,0.098
49,Amreli,Jafrabad,Kadiyali,8.05,695,466,200,60,12,79,5,0,232,107,6,22,0.5,190,0.103
50,Amreli,Lalia,Sanaria,7.88,7103,4759,1300,160,219,1262,0.8,0,378,1243,16,1863,1.74,310,0.194
51,Anand,ANAND,Adas_DW,7.93,1389,931,620,68,108,68,1.3,0,539,99,88,108,0.43,442,0
52,Anand,ANKLAV,Anklav2,8.15,1675,1122,660,64,120,112,1.5,0,744,106,50,96,0.8,610,0
53,Anand,PETLAD,Bandhani,8.19,1447,969,380,112,24,153,29,0,512,177,42,4,0.9,420,0.089
54,Anand,BORSAD,Bhadran (Utiyapara),7.88,598,401,340,76,36,21,1.5,0,281,43,5,86,0.2,230,0.208
55,Anand,Anand,Boriyavi,8.09,1442,966,390,72,50,172,25,0,647,135,18,25,0.1,530,0
56,Anand,CAMBAY,Dali,8.2,4063,2722,950,200,108,501,19,0,1220,674,36,42,1.38,1000,0.013
57,Anand,PETLAD,Dharmaj,8.28,2604,1745,550,120,60,400,0.7,0,1135,248,100,49,1.3,930,0
58,Anand,UMRETH,Ghora,7.83,1709,1145,560,188,22,150,15,0,525,220,36,107,0.44,430,0.029
59,Anand,CAMBAY,Kansari1,8.18,3864,2589,850,140,120,580,1.2,0,622,815,32,392,0.83,510,0.029
60,Anand,CAMBAY,Laxmipura,8.4,4580,3069,650,100,96,780,3.4,156,598,780,10,449,2.2,750,0
61,Anand,UMRETH,Parvata,8.05,1165,781,330,56,46,153,0.8,0,573,78,30,52,1.09,470,0
62,Anand,BORSAD,Ras,8.47,1487,996,150,32,12,296,4.9,234,220,135,22,5,2.74,570,0
63,Anand,Tarapur,Tol,8.12,667,447,240,56,24,58,5.5,0,354,42,7,8,0.68,290,0
64,Banaskantha,AMIRGADH,Amirgadh,8.12,3220,2157,700,120,26,370,2.7,0,549,533,84,215,0.65,450,0.144
65,Banaskantha,THARAD,Bharol1,8.15,752,504,220,68,12,68,9.9,0,329,43,4,31,0.3,270,0.061
66,Banaskantha,DANTIWADA,Dantiwada1,7.88,527,353,180,44,17,37,0.7,0,183,43,22,28,0.65,150,0.143
67,Banaskantha,DANTA,Ganapipli,7.85,819,549,160,40,14,104,1.3,0,268,57,38,45,2.8,220,0.268
68,Banaskantha,DANTIWADA,Gangodra,8.03,3362,2253,1000,240,97,326,10.5,0,390,923,38,35,1.35,320,0.238
69,Banaskantha,AMIRGADH,Iqbalgarh,8.28,614,411,170,20,29,60,1,0,146,71,35,48,0.5,120,0.175
70,Banaskantha,THARAD,Khoda,8.28,1247,835,80,192,0,235,11,0,390,114,17,87,1.6,320,0
71,Banaskantha,DEESA,Meda,8,1120,750,130,24,4,190,2.1,0,342,99,29,88,2.4,280,0.001
72,Banaskantha,DANTA,Mohabbat gadh,7.81,2007,1345,540,168,29,117,2.7,0,159,369,129,28,1.2,130,0.042
73,Banaskantha,PALANPUR,Palanpur2,8.28,1755,1176,100,20,12,344,0.8,0,439,199,88,126,0.75,360,0.012
74,Banaskantha,DANTA,Ratanpur2,7.66,1348,903,390,100,34,83,4,0,134,199,126,71,0.4,110,0.028
75,Bharuch,BHARUCH,Bharuch,7.91,2644,1771,750,140,96,282,1.8,0,464,603,6,111,0.3,380,0.018
76,Bharuch,VAGRA,Bhensli,8.27,693,464,160,32,19,106,13,0,317,78,6,13,0.4,260,0.002
77,Bharuch,Jambusar,Chhindra,8.21,1103,739,360,72,43,96,47,0,403,121,68,10,0.26,330,0.059
78,Bharuch,JAMBUSAR,Dahegam,7.88,828,555,330,84,29,56,31,0,354,64,3,65,0.07,290,0.006
79,Bharuch,JAMBUSAR,Jambusar2,8.04,1000,670,330,88,26,108,18.4,0,439,64,50,70,0.11,360,0.018
80,Bharuch,HANSOT,Jetpur1,8.2,1754,1175,440,96,48,210,38,0,708,191,30,16,0.9,580,0
81,Bharuch,Valia,Jokhla,8.12,942,631,260,92,7,116,0.7,0,451,78,15,15,1.2,370,0
82,Bharuch,BHARUCH,Kaswa,7.24,683,458,310,64,36,35,20,0,366,42,10,17,0.12,300,0
83,Bharuch,VALIA,Kavachiya,8.03,506,339,200,48,19,36,0.3,0,281,21,17,3,0.3,230,0.041
84,Bharuch,JAMBUSAR,Kavi,8.41,1823,1221,200,32,29,159,300,120,561,128,60,20,0.5,660,0.002
85,Bharuch,VALIA,Kondh,8.1,1232,825,220,28,36,206,1.4,0,427,156,46,52,1.5,350,0
86,Bharuch,VAGRA,Luhara,8.47,2676,1793,650,100,96,200,250,204,536,284,96,114,0.34,779,0.044
87,Bharuch,BHARUCH,Mahegam1,8.07,656,440,200,60,12,60,7.7,0,317,43,10,0,0.3,260,0.53
88,Bharuch,ANKLESVAR,Motwan,8.02,3561,2386,850,180,96,462,12.5,0,439,744,16,400,0.8,360,0.142
89,Bharuch,Jhagadia,Mungaj,8,2435,1631,650,120,84,300,12.3,0,573,496,49,80,0.47,470,0.066
90,Bharuch,BHARUCH,Navetha,7.7,2637,1767,900,180,108,183,46,0,403,567,2,149,0.08,330,0.025
91,Bharuch,VAGRA,Nirnavi,8.13,860,576,290,56,36,98,16.6,0,476,50,5,35,0.45,390,0
92,Bharuch,ANKLESVAR,Panoli,7.94,2271,1522,500,80,72,307,0.5,0,610,354,50,113,1.5,500,0.195
93,Bharuch,HANSOT,Raymal,7.86,787,527,240,48,29,77,6.9,0,305,99,7,8,0.67,250,0.075
94,Bharuch,AMOD,Roja tankaria,8.03,762,511,240,56,24,87,13.6,0,317,106,5,12,0.34,260,0.117
95,Bharuch,Hansot,Sahol,7.31,5512,3693,2450,660,192,200,3.8,0,180,1524,8,529,1,148,0.11
96,Bharuch,ANKLESVAR,Sajod,8.84,1710,1146,170,16,31,343,2.5,192,390,128,20,67,2.68,640,0.075
97,Bharuch,JAMBUSAR,Sarod,8.02,1880,1260,410,44,72,246,6.6,0,1061,35,15,10,1.1,870,0.103
98,Bharuch,JHAGADIA,Simodra,8.29,1837,1231,300,36,50,257,4.3,0,281,418,13,19,0.33,230,0.022
99,Bharuch,Jambusar,Sindhav,8.07,1100,737,280,36,46,130,23.6,0,451,121,5,14,0.5,370,0.012
100,Bharuch,JAMBUSAR,Tankari,8.67,3000,2010,950,120,156,250,50,192,281,461,43,238,0.58,550,0.011
101,Bharuch,HANSOT,Utraj,8.09,800,536,190,32,26,106,1.8,0,439,35,3,6,0.68,360,0.069
102,Bharuch,Valia,Chiklata,7.77,860,576,290,52,38,67,0.4,0,390,57,35,4,0.8,320,0.025
103,Bharuch,Valia,Temroloya,7.82,562,377,190,68,5,60,1.5,0,281,43,26,6,0.4,230,0.612
104,Bhavnagar,Vallabhipur,"Ayodhyapuram(Narayan dham)",8.28,4850,3250,220,56,19,1061,1,0,1464,866,11,66,4.4,1200,0
105,Bhavnagar,BHAVNAGAR,Bhavnagar1,8.28,902,604,180,16,32,155,0.3,0,317,142,14,40,0.47,260,0
106,Bhavnagar,BHAVNAGAR,Bhumbhali,8.01,5461,3659,1200,120,219,687,19.8,0,390,1385,12,369,0.56,320,0.081
107,Bhavnagar,Mahuva,Bora,8.28,1433,960,50,12,7,320,1.8,0,671,85,40,35,2.2,550,0
108,Bhavnagar,TALAJA,Datha,7.96,4209,2820,480,48,88,756,4.8,0,293,1221,4,128,1.08,240,0.197
109,Bhavnagar,GADHADA,Dhasa,8.07,514,344,230,52,24,18,12.3,0,244,36,18,3,0,200,1.395
110,Bhavnagar,MAHUVA,Dudhala,8.01,1699,1138,460,56,78,175,2.8,0,403,270,120,25,0.75,330,2.07
111,Bhavnagar,GADHADA,Gadhada2,8.17,744,498,250,96,15,68,1.6,0,329,57,20,29,0.28,270,0
112,Bhavnagar,GARIADHAR,Gariyadhar,7.95,1987,1331,600,96,88,180,3.4,0,232,405,70,158,0.55,190,0
113,Bhavnagar,GHOGHA,Ghogha,8.19,4256,2852,400,32,78,762,63.2,0,488,909,300,110,0.38,400,0.137
114,Bhavnagar,PALITANA,Khijadiya,8.7,1195,801,70,12,10,242,0.3,120,122,142,7,81,1.2,300,0
115,Bhavnagar,Talaja,Kundheli,8.28,296,198,120,24,15,23,2.3,0,146,21,3,16,0.35,120,0.031
116,Bhavnagar,MAHUVA,Longadi,8.12,667,447,110,16,17,100,22.2,0,281,64,4,1,0.54,230,0
117,Bhavnagar,MAHUVA,Mahuva,8.28,2990,2003,160,40,15,620,1.4,0,854,540,37,3,1.23,700,0
118,Bhavnagar,MAHUVA,Motivadal,7.99,1171,785,400,48,68,97,6.2,0,329,149,95,49,0.28,270,0.06
119,Bhavnagar,GADHADA,Ningala,8.27,1150,771,110,24,12,225,1.7,0,476,114,20,27,0.75,390,0
120,Bhavnagar,PALITANA,Panchpipla,7.96,921,617,190,32,27,124,0.1,0,366,78,36,17,0.65,300,0.028
121,Bhavnagar,VALLABHIPUR,Panvi1,8.28,2129,1426,120,24,15,465,9.6,0,976,199,12,29,2.72,800,0.031
122,Bhavnagar,PALITANA,Sajnasar,8.11,1145,767,450,136,27,77,10.8,0,476,114,30,37,0.75,390,0.424
123,Bhavnagar,SIHOR,Sandhida,8.13,555,372,220,28,36,36,2.4,0,268,43,15,4,0.35,220,0.101
124,Bhavnagar,MAHUVA,Shantinagar,8.13,2358,1580,940,184,117,135,10.9,0,610,355,38,187,0.31,500,0.439
125,Bhavnagar,TALAJA,Talaja2,8.02,1314,880,490,32,88,105,0.5,0,281,249,66,75,0.38,230,0
126,Bhavnagar,BOTAD,Tardhera,8.21,2052,1375,680,176,56,220,2,0,73,660,64,99,0.15,60,0.156
127,Bhavnagar,GADHADA,Tatam,7.33,10930,7323,4450,540,754,450,59.8,0,195,3089,575,374,0.97,160,0.486
128,Bhavnagar,UMRALA,Timbi2,8.21,293,196,100,28,7,23,4,0,122,28,7,3,0.33,100,0.211
129,Bhavnagar,TALAJA,Trapaj,8.16,1498,1004,650,16,148,67,25,0,610,170,31,26,0.2,500,0.53
130,Bhavnagar,Vallabhipur,Vallbhipur,8.18,545,365,100,24,10,80,2.2,0,159,78,6,25,0.57,130,0.889
131,Bhavnagar,Ghogha,Vavdi,8.28,756,507,260,20,51,62,0.8,0,281,78,33,24,0.54,230,0.092
132,Daman,Daman,Dabhel,7.97,1297,869,370,76,44,135,0.4,0,488,171,3,15,0.33,400,3.169
133,Daman,Daman,Dalwada,8.07,752,504,230,44,29,80,2.2,0,378,43,31,7,0,310,0.534
134,Daman,Daman,Jempur,8.09,1033,692,290,56,36,112,22.2,0,512,64,12,11,0.4,420,0.293
135,Daman,Daman,Khariwad daman,8.14,1299,870,230,24,29,194,16.4,0,561,121,3,14,0.65,460,1.93
136,Daman,Daman,Warkund,7.71,1669,1118,510,60,88,158,1,0,512,263,40,23,0.7,420,0.164
137,Diu,DIU,Diu,8.28,3545,2375,360,40,63,635,41.2,0,561,838,0,79,0.4,460,0
138,Diu,DIU,Gomti Mata,8.19,4011,2687,720,56,14,583,40,0,476,937,175,112,0.2,390,0.103
139,Diu,DIU,Jalawali,7.54,14330,9601,4250,760,57,1674,45.2,0,134,5396,2,66,0.2,110,0.116
140,Diu,Diu,Butchwada,8.12,16770,11236,3000,320,535,2650,55.8,0,281,5645,50,407,0.7,230,0.209
141,Diu,Diu,Vichwadi,8.25,6216,4165,1800,260,280,580,55.8,0,293,1775,105,191,0.35,240,0.005
142,Dohad,Dhanpur,Ambakatch,7.92,1803,1208,540,72,86,163,7.2,0,842,128,9,10,1.2,690,0.044
143,Dohad,DEVGAD BARIA,Badpa,7.74,996,667,220,40,29,164,1.1,0,512,78,20,21,3,420,0.691
144,Dohad,LIMKHEDA,Dadhela,7.59,961,644,350,64,46,80,4.6,0,451,78,43,5,1.15,370,0.12
145,Dohad,DOHAD,Dahod Urban-1,7.67,1052,705,370,92,34,63,0.4,0,281,78,150,40,1.03,230,0.183
146,Dohad,DOHAD,Dahod Urban-2,7.56,2315,1551,640,104,122,210,6.6,0,500,298,170,115,1.66,410,0.293
147,Dohad,DOHAD,Dahod Urban-3,7.55,1583,1061,380,72,48,201,2.4,0,610,184,46,10,2.32,500,
148,Dohad,DOHAD,Dahod2,7.33,2454,1644,750,200,60,214,3.7,0,470,390,215,94,0.75,385,0.95
149,Dohad,DEVGAD BARIA,Devgadh Baria,7.7,990,663,320,64,38,75,2.3,0,390,85,12,29,0.87,320,0.208
150,Dohad,GARBADA,Garbara,7.91,4184,2803,1000,160,144,479,21.4,0,720,638,400,203,1.96,590,0.199
151,Dohad,JHALOD,Jhalod1,7.73,562,377,220,52,22,73,1.8,0,268,42,7,88,0.84,220,0.049
152,Dohad,DHANPUR,Kanjetha,7.86,785,526,310,72,31,60,3.2,0,451,35,9,11,0.84,370,0.081
153,Dohad,DEVGAD BARIA,Khandania,7.71,1000,670,660,76,113,43,1.5,0,378,92,20,279,2,310,0
154,Dohad,JHALOD,Limbdi,7.24,2300,1541,630,156,58,210,7.7,0,512,440,34,8,0.9,420,0.111
155,Dohad,JHALOD,Mirakhedi,7.74,957,641,380,116,22,63,1.3,0,427,64,74,13,0.9,350,0
156,Dohad,GARBADA,Panchwada,7.09,1219,817,430,80,55,115,3.5,0,647,92,3,12,1.15,530,2.887
157,Dohad,FATEPURA,Sarsava,7.31,805,539,360,116,17,29,7.5,0,403,35,21,23,0.8,330,1.347
158,Dohad,FATEPURA,Sukhsar,7.62,964,646,300,64,34,91,2.1,0,427,57,60,15,0.83,350,0.306
159,Dohad,DHANPUR,Tokarba,7.42,910,610,340,128,5,53,3.9,0,403,71,2,18,1,330,0.053
160,Dohad,DOHAD,Varamkheda,7.46,764,512,330,76,34,38,1.2,0,354,50,44,12,1.18,290,0.325
161,Dohad,LIMKHEDA,Wadia,7.44,876,587,300,52,46,82,5.6,0,403,64,48,14,1.16,330,0.706
162,Gandhinagar,DEHGAM,Paliya,8.18,2574,1725,580,56,107,258,1.8,0,464,298,144,208,0.85,380,0.363
163,Gandhinagar,GANDHINAGAR,Serthapara1,7.52,4692,3144,1300,80,268,572,62.8,0,1196,568,370,432,1.4,980,0.039
164,Jamnagar,BHANVAD,Ambardi,7.98,495,332,210,56,17,40,1.4,0,146,99,34,7,0.29,120,0.33
165,Jamnagar,JODIYA,Amran1,7.73,2469,1654,900,68,175,170,2.7,0,439,461,40,209,0.3,360,0
166,Jamnagar,Okhamandal,Aramda,7.75,13550,9079,3000,280,552,1800,18.5,0,281,3900,2,1062,1.25,230,0.006
167,Jamnagar,Jamjodhpur,Balwa,8.06,1062,712,380,68,50,96,0.2,0,183,156,110,121,0.26,150,0
168,Jamnagar,JAMNAGAR,Bed1,7.48,4956,3321,1700,260,252,365,6.4,0,403,1312,13,266,0.3,330,0.038
169,Jamnagar,JODIYA,Bedanpur,8,843,565,210,48,22,134,2.2,0,293,92,12,114,0.5,240,0
170,Jamnagar,BHANVAD,Bhanvad,7.61,5893,3948,1900,320,264,621,2.3,0,232,1454,94,870,0.43,190,0
171,Jamnagar,KALYANPUR,Bhogat1,7.82,1008,675,370,88,36,91,7.4,0,207,163,7,151,0.88,170,0
172,Jamnagar,JAMNAGAR,Changa,7.74,1493,1000,410,84,48,152,0.5,0,329,227,58,95,0.35,270,0
173,Jamnagar,DHROL,Dhrol2,8.1,1673,1121,350,96,26,219,0.9,0,110,369,65,149,0.39,90,0
174,Jamnagar,JODIYA,Dudhai2,8.29,977,655,180,36,22,161,2.8,0,195,99,5,213,0.94,160,0
175,Jamnagar,OKHAMANDAL,Dwarka,7.65,9035,6053,2300,240,408,1100,14.8,0,183,2624,62,711,0.83,150,0
176,Jamnagar,KALAVAD,Haripur2,7.8,1230,824,460,112,43,90,1.8,0,195,163,150,135,0.6,160,0
177,Jamnagar,JAMNAGAR,Jambuda,7.52,2330,1561,1000,280,72,100,0.2,0,183,603,68,144,0.39,150,0.008
178,Jamnagar,JAMNAGAR,Jamnagar2,7.79,1247,835,390,64,55,120,0.5,0,293,191,45,96,0.58,240,0
179,Jamnagar,KALYANPUR,Juvanpur,8.28,733,491,260,40,38,75,0.7,0,159,113,45,90,0.3,130,0
180,Jamnagar,KHAMBHALIA,Kajuda,7.78,1560,1045,520,112,58,136,0.4,0,195,340,56,119,0.44,160,0
181,Jamnagar,KALAVAD,Kalawad,7.75,1389,931,510,84,72,93,3.6,0,439,156,49,85,0.35,360,0.085
182,Jamnagar,OKHAMANDAL,Kalyanpur,7.91,1369,917,360,72,43,170,0.3,0,256,255,35,121,0.35,210,0
183,Jamnagar,KALYANPUR,Khirsara,6.86,3685,2469,1600,320,192,160,1.4,0,159,1028,40,303,0.39,130,0
184,Jamnagar,KHAMBHALIA,Kuvadia,7.93,4373,2930,1300,220,180,400,2.6,0,439,957,80,360,1.1,360,0
185,Jamnagar,LALPUR,Lalpur1,8.13,857,574,340,92,26,57,1.6,0,305,71,55,65,0.15,250,0
186,Jamnagar,OKHAMANDAL,Lambha 1,7.9,1882,1261,400,84,46,221,9.1,0,220,390,68,79,2.26,180,0
187,Jamnagar,OKHAMANDAL,Mojap,8.26,3514,2354,800,260,36,445,40.9,0,927,674,52,1,0.85,760,0
188,Jamnagar,BHANVAD,Mota kalawad,8.07,889,596,270,56,31,92,0.4,0,293,71,48,85,0.4,240,0.496
189,Jamnagar,KALAVAD,Moti matli,7.92,868,582,180,56,10,115,0.6,0,232,128,29,31,0.64,190,0.43
190,Jamnagar,KALAVAD,Nikava,7.12,1120,750,360,84,36,123,9.1,0,390,142,8,94,0.3,320,0.026
191,Jamnagar,KALYANPUR,Pindara1,8.08,3173,2126,950,180,120,300,4.9,0,268,745,36,277,0.43,220,0
192,Jamnagar,KALYANPUR,Raval,8.27,2699,1808,700,200,48,300,28.9,0,232,603,96,214,0.26,190,0
193,Jamnagar,OKHAMANDAL,Samrasar1,8.28,1378,923,290,64,31,200,1.4,0,207,248,62,144,0.4,170,0
194,Jamnagar,JAMJODHPUR,Seth vadala,7.86,1494,1001,610,80,98,90,4.5,0,561,121,33,140,0.26,460,0.064
195,Jamnagar,KALAVAD,Toda,7.89,990,663,460,100,50,44,0.4,0,195,106,125,137,0.3,160,0
196,Jamnagar,LALPUR,Vad panchasara,7.54,1984,1329,720,164,74,151,3.6,0,220,340,185,223,0.13,180,0.101
197,Jamnagar,KHAMBHALIA,Vadtara,8.11,791,530,280,92,12,71,0.2,0,183,92,76,87,0.53,150,0
198,Jamnagar,OKHAMANDAL,Varwada,8.29,5892,3948,1500,200,240,660,63.1,0,598,1276,38,564,1.5,490,0.149
199,Jamnagar,JAMNAGAR,Vijarkha,7.75,1017,681,330,76,34,100,0.4,0,268,142,13,109,0.3,220,0
200,Junagadh,VERAVAL,Ajotha,7.97,1692,1134,530,84,13,152,1.5,0,171,419,38,87,0.35,140,0.07
201,Junagadh,TALALA,Alwani,7.95,643,431,250,36,39,36,0.3,0,268,57,7,20,0.31,220,0.396
202,Junagadh,Talala,Amervel Nes,8.11,571,383,180,28,27,50,1.9,0,244,57,0,7,0,200,0.213
203,Junagadh,JUNAGADH,Anandpur,7.76,2238,1499,830,160,103,100,0,0,159,482,80,156,0.7,130,0
204,Junagadh,MANGROL,Antroli,7.98,11020,7383,2800,580,324,1190,37,0,220,3510,26,163,0.48,180,0
205,Junagadh,MANGROL,Bamanwara,7.54,5200,3484,2050,360,276,230,6.6,0,61,1666,48,77,0.35,50,0
206,Junagadh,MANAVADAR,Bantva,8.27,2825,1893,900,220,84,230,2.1,0,378,745,28,2,0.6,310,0
207,Junagadh,Talala,Bhim Deval,8.1,898,602,280,60,32,94,4.7,0,232,129,35,77,0.36,190,0.113
208,Junagadh,JUNAGADH,Bilkha,8.29,1963,1315,800,104,130,98,2.2,0,500,277,66,147,0.48,410,0
209,Junagadh,MALIA,Budhecha,7.87,1231,825,400,68,55,100,3.7,0,110,213,66,160,1,90,0
210,Junagadh,JUNAGADH,Chokli,8.53,1300,871,350,40,60,131,0.6,48,73,163,96,175,0.74,140,0
211,Junagadh,MALIA,Chorwad,7.48,11310,7578,4100,1320,192,685,16,0,232,3297,31,636,0.45,190,0.065
212,Junagadh,UNA,Dhokadva,8.25,535,358,230,32,36,35,1.8,0,207,57,0,53,0,170,0
213,Junagadh,MALIA,Galodar,6.86,835,559,300,44,46,47,0.2,0,207,99,18,73,0.3,170,0
214,Junagadh,UNA,Girgadhada,8.05,625,419,200,44,22,45,0.8,0,220,50,33,19,0.05,180,0.1
215,Junagadh,MANGROL,Goraj1,8.16,1085,727,240,28,41,163,3.4,0,220,149,34,164,1.25,180,0
216,Junagadh,VERAVAL,Govindpura2,7.9,507,340,180,28,5,29,1.6,0,183,50,13,11,0,150,0.366
217,Junagadh,TALALA,Jambur[madhapar,7.97,692,464,250,32,41,59,1.2,0,293,85,8,10,0,240,0.087
218,Junagadh,UNA,Jamvala1,8.28,386,259,130,32,12,29,0.4,0,122,50,7,15,0.2,100,0
219,Junagadh,Una,Jargla Jargali,8.07,444,297,170,32,22,28,0.3,0,183,43,12,9,0.15,150,0.081
220,Junagadh,JUNAGADH,Junagadh1,8.05,1180,791,360,76,41,83,2,0,146,184,70,97,0.23,120,0
221,Junagadh,MALIA,Juthal,8.29,763,511,300,56,38,55,3.1,0,232,121,7,48,0.3,190,0
222,Junagadh,MANGROL,Kalej,7.54,4499,3014,2000,360,364,150,3.1,0,85,1276,47,378,0.82,70,0
223,Junagadh,MENDARDA,Kanedipur,7.96,594,398,210,52,19,40,0.1,0,232,57,11,15,0.41,190,0
224,Junagadh,Una,Kansari,8.28,1360,911,340,60,46,162,5.9,0,439,206,34,9,0.65,360,0.241
225,Junagadh,Una,Kesariyaji_1,7.88,1136,761,270,60,290,136,3.4,0,220,220,33,41,0.65,180,0.366
