S.No,District,Taluka,Location,pH,EC,TDS,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,NO3,SO4,F,Alk,Fe
454.0,Sabarkantha,BAYAD,Sathamba,8.09,1290.0,864.0,540.0,88.0,77.0,63.0,3.2,0.0,610.0,92.0,25.0,22.0,0.75,500.0,0.014
455.0,Sabarkantha,MODASA,Seenawad,7.64,1744.0,1168.0,700.0,200.0,48.0,105.0,12.4,0.0,561.0,231.0,155.0,12.0,0.5,460.0,0.082
456.0,Sabarkantha,BHILODA,Shamlaji,7.72,1600.0,1072.0,620.0,180.0,41.0,56.0,9.1,0.0,610.0,71.0,130.0,33.0,0.35,500.0,2.056
457.0,Sabarkantha,KHEDBRAHMA,Silwad,7.7,4651.0,3116.0,1800.0,200.0,312.0,280.0,9.8,0.0,512.0,1205.0,110.0,170.0,0.86,420.0,0.898
458.0,Sabarkantha,BHILODA,Takatuka_1,8.05,1836.0,1230.0,490.0,64.0,79.0,230.0,1.2,0.0,525.0,355.0,58.0,4.0,0.76,430.0,0.0
459.0,Sabarkantha,Talod,Umedpura,8.02,1512.0,1013.0,440.0,60.0,70.0,210.0,0.4,0.0,647.0,177.0,105.0,25.0,1.1,530.0,0.28
460.0,Sabarkantha,VIJAYNAGAR,Vijaynagar1,7.83,1100.0,737.0,330.0,72.0,36.0,105.0,4.5,0.0,427.0,128.0,16.0,11.0,0.5,350.0,0.076
461.0,Sabarkantha,HIMATNAGAR,Virpur_1(Himmat),8.05,900.0,603.0,240.0,76.0,12.0,84.0,0.8,0.0,403.0,28.0,45.0,13.0,0.75,330.0,0.084
462.0,Sabarkantha,Himmatnagar,Vaktapur,8.12,2919.0,1956.0,950.0,160.0,132.0,280.0,2.4,0.0,488.0,638.0,105.0,154.0,0.86,400.0,0.0
,Sabarkantha,VADALI,Vadali,,,,,,,,,,,,,,,,0.117
463.0,Surat,VADALI,Wadali,7.98,2748.0,439.0,700.0,152.0,78.0,310.0,2.6,0.0,439.0,625.0,12.0,105.0,0.93,360.0,0.272
464.0,Surat,BARDOLI,Allu,8.06,610.0,409.0,250.0,24.0,46.0,47.0,0.5,0.0,342.0,36.0,6.0,14.0,0.52,280.0,0.149
465.0,Surat,VYARA,Bedchit,7.64,1583.0,1061.0,610.0,92.0,92.0,110.0,0.2,0.0,500.0,263.0,23.0,42.0,0.65,410.0,0.1
466.0,Surat,Mangrol,Bhatkol,8.02,865.0,580.0,200.0,32.0,29.0,115.0,1.2,0.0,366.0,92.0,3.0,13.0,0.9,300.0,0.357
467.0,Surat,UMARPADA,Chavada2,7.79,363.0,243.0,170.0,36.0,19.0,23.0,0.5,0.0,220.0,21.0,5.0,4.0,0.4,180.0,1.33
468.0,Surat,Kemraj,Digas,8.28,898.0,602.0,160.0,4.0,36.0,169.0,0.7,0.0,512.0,36.0,40.0,21.0,0.89,420.0,0.064
469.0,Surat,MANGROL,Dungri,7.74,1491.0,999.0,420.0,88.0,49.0,180.0,7.2,0.0,610.0,185.0,44.0,10.0,0.38,500.0,0.267
470.0,Surat,SONGADH,Jesingpura[sg],7.87,668.0,448.0,280.0,28.0,51.0,24.0,1.0,0.0,342.0,28.0,2.0,9.0,0.24,280.0,0.184
471.0,Surat,UMARPADA,Juna umarpada,8.05,458.0,307.0,170.0,40.0,17.0,25.0,1.1,0.0,207.0,28.0,7.0,8.0,0.4,170.0,0.437
