S.No,District,Taluka,Location,pH,EC,TDS,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,NO3,SO4,F,Alk,Fe
425,Rajkot,JASDAN,Vinchhia,8.13,840.0,563.0,220.0,48.0,24.0,108.0,2.1,0.0,415.0,50.0,8.0,34.0,0.6,24.0,0.139
426,Rajkot,JASDAN,Viranagar,8.28,2602.0,1743.0,640.0,80.0,107.0,295.0,1.3,0.0,525.0,426.0,42.0,198.0,0.85,430.0,0.096
427,Rajkot,RAJKOT,Ribda,Leaked out,0.009,,,,,,,,,,,,,,
428,Sabarkantha,WANKANER,Wankaner-1,8.22,956.0,641.0,280.0,68.0,27.0,105.0,5.3,0.0,390.0,107.0,24.0,14.0,0.7,320.0,0.9
428,Sabarkantha,Dhansura,Alwa Kampa,7.91,1310.0,878.0,460.0,68.0,70.0,113.0,0.8,0.0,659.0,85.0,33.0,15.0,0.5,540.0,0.0
429,Sabarkantha,VIJAYNAGAR,Atarsumba1,7.71,990.0,663.0,480.0,116.0,46.0,46.0,2.2,0.0,403.0,113.0,60.0,38.0,0.2,330.0,0.0
430,Sabarkantha,BHILODA,Bhiloda2,7.92,1488.0,997.0,500.0,76.0,74.0,92.0,0.8,0.0,403.0,191.0,64.0,42.0,0.4,330.0,0.0
431,Sabarkantha,BAYAD,Boral,8.04,2901.0,1944.0,950.0,360.0,12.0,260.0,1.2,0.0,756.0,352.0,125.0,279.0,0.64,620.0,0.0
432,Sabarkantha,Talod,Boriya,7.70,2192.0,1469.0,580.0,136.0,58.0,225.0,0.8,0.0,451.0,418.0,100.0,20.0,0.5,370.0,3.145
433,Sabarkantha,IDAR,Chandap_DW,8.08,1373.0,920.0,490.0,108.0,53.0,100.0,4.1,0.0,403.0,177.0,95.0,44.0,0.8,330.0,0.0
434,Sabarkantha,VADALI,Choriwad,7.92,2351.0,1575.0,1100.0,280.0,96.0,67.0,2.8,0.0,451.0,461.0,230.0,29.0,0.6,370.0,0.0
435,Sabarkantha,DHANSURA,Dhansura,7.93,1200.0,804.0,460.0,100.0,50.0,77.0,1.1,0.0,451.0,92.0,150.0,4.0,0.6,370.0,0.037
436,Sabarkantha,MODASA,Gadada,7.88,1700.0,1139.0,640.0,120.0,82.0,122.0,2.9,0.0,451.0,234.0,175.0,55.0,0.93,370.0,0.342
437,Sabarkantha,HIMATNAGAR,Gadha1,8.03,3171.0,2125.0,750.0,140.0,96.0,360.0,2.1,0.0,537.0,603.0,140.0,110.0,1.15,440.0,0.043
438,Sabarkantha,TALOD,Harsol1,8.28,1424.0,954.0,370.0,60.0,53.0,176.0,2.1,0.0,659.0,99.0,50.0,27.0,1.1,540.0,0.0
