District,Location,pH,EC,TDS,CO3,HCO3,Cl,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K
Vadodara,Alladpur,7.84,1104.0,740,0.0,451,135,29,44.0,1.25,370,48,49.0,320.0,145.0,3.4
Rajkot,Lalavadar,8.25,696.0,466,0.0,329,36,13,17.0,0.5,270,76,0.1,190.0,74.0,1.2
Rajkot,Macchukunda,8.22,1360.0,911,0.0,232,305,11,42.0,0.42,190,108,15.0,330.0,161.0,7.2
Rajkot,Malia,8.14,846.0,567,0.0,293,128,7,5.0,0.47,240,64,15.0,230.0,87.0,17.3
Rajkot,Modpar-1,7.66,5564.0,3728,0.0,220,1392,42,592.0,0.55,180,272,146.0,1280.0,709.0,12.7
Rajkot,Morvi,8.03,2251.0,1508,0.0,500,369,25,157.0,1.7,410,104,44.0,440.0,315.0,3.3
Rajkot,Mota dadwa,8.02,826.0,553,0.0,103,121,75,80.0,0.49,84,76,15.0,250.0,70.0,1.6
Rajkot,Mota dhansura,8.09,4106.0,2751,0.0,500,937,6,254.0,1.48,410,88,39.0,380.0,755.0,3.4
Rajkot,Motagundala,8.28,628.0,421,0.0,305,50,8,8.0,0.95,250,40,12.0,160.0,82.0,1.9
Rajkot,Movaiya,8.1,3423.0,2293,0.0,183,881,110,216.0,0.35,150,264,102.0,1080.0,296.0,207.0
Rajkot,Neknam,8.21,371.0,249,0.0,146,51,7,14.0,0.28,120,48,5.0,140.0,34.0,1.9
Rajkot,Nichi mandal,8.04,1730.0,1159,0.0,427,334,35,15.0,1.4,350,40,29.0,220.0,301.0,1.6
Rajkot,Padadhari,8.01,5319.0,3564,0.0,329,1235,66,581.0,0.65,270,188,73.0,1020.0,770.0,1.9
Rajkot,Patanvav,7.58,4987.0,3341,0.0,134,1434,180,197.0,0.32,110,432,210.0,1940.0,262.0,0.6
Rajkot,Rajkot1,8.44,1181.0,791,0.0,305,170,19,80.0,0.26,250,128,17.0,390.0,93.0,7.7
Rajkot,Ribda,8.22,1990.0,1333,0.0,134,483,36,160.0,0.2,110,208,7.0,550.0,205.0,1.2
Rajkot,Sardhar2,8.48,1733.0,1161,108.0,506,213,7,10.0,0.35,595,64,19.0,240.0,273.0,65.3
Rajkot,Sarvad,8.28,315.0,211,0.0,122,64,3,6.0,0.26,100,48,5.0,140.0,28.0,2.0
Rajkot,Sayapar,7.9,2323.0,1556,0.0,281,540,135,46.0,0.6,230,208,63.0,780.0,175.0,1.9
Rajkot,Sindhavadar,8.28,2374.0,1591,0.0,415,497,72,97.0,0.46,340,64,24.0,260.0,437.0,0.5
Rajkot,Targhari,8.21,1763.0,1181,0.0,342,327,70,76.0,0.2,280,140,63.0,610.0,126.0,0.4
Rajkot,Umarali,7.75,1509.0,1011,0.0,134,369,120,14.0,0.17,110,164,24.0,510.0,110.0,1.2
Rajkot,Upleta1,7.68,5215.0,3494,0.0,61,1505,130,286.0,0.25,50,672,0.0,1680.0,425.0,3.9
Rajkot,Vinchhia,8.07,3077.0,2062,0.0,451,710,40,108.0,1.25,370,88,39.0,380.0,530.0,2.0
Rajkot,Viranagar,8.17,2923.0,1958,0.0,610,625,65,23.0,0.94,500,80,0.0,200.0,585.0,1.6
Rajkot,Virpur-1,8.01,2209.0,1480,0.0,317,440,136,50.0,0.4,260,128,54.0,540.0,235.0,18.1
Rajkot,Wankaner,8.4,1296.0,868,84.0,305,185,25,24.0,0.42,390,80,46.0,390.0,143.0,9.2
Sabarkantha,Alwakampa,7.9,1093.0,732,0.0,476,92,30,35.0,0.68,390,84,41.0,380.0,94.0,2.5
Sabarkantha,Atarsumba,8.21,827.0,554,0.0,195,120,30,46.0,0.26,160,84,22.0,300.0,48.0,4.5
Sabarkantha,Bhadreshwar1,8.81,2038.0,1365,84.0,171,425,64,6.0,1.7,280,44,58.0,350.0,276.0,5.1
Sabarkantha,Boral,7.88,2822.0,1891,0.0,512,567,90,1.0,0.6,420,340,12.0,900.0,270.0,1.4
Sabarkantha,Boriya,7.18,2773.0,1858,0.0,122,674,95,283.0,0.34,100,340,36.0,1000.0,200.0,0.9
Sabarkantha,Chandav,8.28,1774.0,1189,0.0,122,432,86,18.0,0.87,100,84,60.0,460.0,160.0,4.7
Sabarkantha,Choriwad,8.07,1800.0,1206,0.0,110,383,210,83.0,0.8,90,212,53.0,750.0,67.0,2.1
Sabarkantha,Dhansura1,8.01,1376.0,922,0.0,573,149,29,16.0,0.65,470,128,60.0,570.0,71.0,1.8
Sabarkantha,Gadada,8.28,1410.0,945,0.0,159,248,175,107.0,0.9,130,72,74.0,490.0,115.0,1.7
Sabarkantha,Gadha1,8.53,2703.0,1811,48.0,122,603,120,247.0,1.7,180,160,60.0,650.0,345.0,1.7
Sabarkantha,Harsol1,8.85,1192.0,799,132.0,195,92,74,54.0,1.65,380,92,2.0,240.0,180.0,1.7
Sabarkantha,Idar,8.26,1870.0,1253,0.0,659,277,13,34.0,3.0,540,96,36.0,390.0,276.0,6.6
Sabarkantha,Karanpur,7.82,625.0,419,0.0,256,64,22,28.0,0.86,210,76,7.0,220.0,60.0,0.8
Sabarkantha,Kesharpur,8.15,1179.0,790,0.0,110,220,140,61.0,0.55,90,116,38.0,450.0,61.0,4.6
Sabarkantha,Kesharpur Idar,8.94,1183.0,793,132.0,170,99,48,63.0,3.0,359,76,2.0,200.0,190.0,0.6
Sabarkantha,Khedbramha,7.87,3253.0,2180,0.0,85,886,140,243.0,0.94,70,400,96.0,1400.0,140.0,2.1
Sabarkantha,Malpur,7.79,1024.0,686,0.0,281,142,85,24.0,0.86,230,100,22.0,340.0,87.0,0.6
Sabarkantha,Mathasliya,8.29,1073.0,719,0.0,159,199,105,6.0,0.3,130,60,12.0,200.0,141.0,32.0
Sabarkantha,Matoda,8.19,2100.0,1407,0.0,97,503,140,69.0,0.22,80,128,94.0,710.0,126.0,23.0
Sabarkantha,Medasana,8.14,856.0,574,0.0,256,113,41,71.0,0.8,210,68,24.0,270.0,97.0,1.9
Sabarkantha,Modasa2,7.96,1048.0,702,0.0,146,149,90,137.0,0.46,120,116,17.0,360.0,87.0,0.8
Sabarkantha,Poshina2,8.56,1440.0,965,96.0,207,234,22,32.0,0.93,330,80,53.0,420.0,137.0,7.0
Sabarkantha,Punasan,8.49,585.0,392,48.0,24,78,44,48.0,0.4,100,56,10.0,180.0,54.0,0.3
Sabarkantha,Ramgarh,8.6,3183.0,2133,84.0,159,886,18,16.0,0.9,270,200,48.0,700.0,400.0,21.0
Sabarkantha,Ratanpur2,8.56,2000.0,1340,60.0,12,510,26,97.0,0.71,110,40,50.0,310.0,300.0,11.1
Sabarkantha,Revas,7.56,1600.0,1072,0.0,268,241,170,92.0,0.99,220,160,43.0,580.0,101.0,2.6
Sabarkantha,Sabalwad,8.68,880.0,590,72.0,134,85,38,60.0,2.96,230,104,14.0,320.0,61.0,3.4
Sabarkantha,Sathamba,8.1,606.0,406,0.0,232,64,5,25.0,0.58,190,64,14.0,220.0,43.0,1.7
Sabarkantha,Seenawad,7.79,1641.0,1099,0.0,171,326,100,142.0,0.61,140,136,46.0,530.0,141.0,3.6
Sabarkantha,Shamlaji,8.48,515.0,345,36.0,171,42,16,10.0,0.34,200,72,12.0,230.0,25.0,4.3
Sabarkantha,Takatuka,8.57,1700.0,1139,36.0,134,432,66,23.0,0.6,170,44,62.0,370.0,228.0,1.7
Sabarkantha,Umedpur,8.64,1303.0,873,60.0,232,206,48,29.0,1.6,290,14,38.0,260.0,183.0,0.9
Sabarkantha,Vijaynagar1,8.28,460.0,308,0.0,171,50,3,40.0,0.18,140,76,2.0,200.0,26.0,4.8
Sabarkantha,Virpur2,8.28,395.0,265,0.0,159,35,35,11.0,0.67,130,52,2.0,170.0,24.0,0.4
Sabarkantha,Wadali,8.23,1196.0,801,0.0,207,191,145,18.0,1.2,170,88,24.0,320.0,120.0,4.3
Surat,0,8.25,1155.0,774,0.0,488,107,24,-17.0,0.2,400,44,54.0,340.0,99.0,23.4
Surat,Anita,8.12,6003.0,4022,0.0,586,1775,40,324.0,0.3,480,240,61.0,850.0,1167.0,6.2
Surat,Arda-boratha,7.57,960.0,643,0.0,366,99,37,10.0,0.62,300,88,22.0,310.0,48.0,63.1
Surat,Bagumda,8.0,583.0,391,0.0,256,28,24,12.0,0.77,210,24,36.0,210.0,34.0,0.7
Surat,Bedchiet,7.83,1436.0,962,0.0,464,206,18,33.0,0.66,380,72,80.0,510.0,99.0,0.2
Surat,Bhatkol,8.17,850.0,570,0.0,366,78,0,15.0,1.33,300,44,34.0,250.0,83.0,1.5
Surat,Bhurvel (ukai),7.88,1082.0,725,0.0,451,114,7,12.0,0.38,370,64,29.0,280.0,125.0,7.1
Surat,Chavada,7.85,450.0,302,0.0,220,28,4,4.0,0.47,180,40,22.0,190.0,18.0,1.0
Surat,Digas,8.22,1024.0,686,0.0,512,36,29,17.0,0.9,420,12,44.0,210.0,140.0,0.8
Surat,Dungri,8.22,1670.0,1119,0.0,634,199,13,45.0,1.31,520,108,68.0,550.0,145.0,4.0
Surat,Jesingpura[sg],7.88,723.0,484,0.0,390,21,2,14.0,0.32,320,36,34.0,230.0,63.0,0.8
Surat,Juna umarpada,7.68,1195.0,801,0.0,159,270,4,46.0,0.32,130,120,10.0,340.0,105.0,1.4
Surat,Kadod-1,7.91,976.0,654,0.0,415,71,20,33.0,0.2,340,104,24.0,360.0,61.0,1.8
Surat,Kalkui,8.21,413.0,277,0.0,195,11,0,34.0,0.37,160,52,15.0,190.0,10.0,0.5
Surat,Karanjvel,8.14,393.0,263,0.0,207,28,0,16.0,0.2,170,56,12.0,190.0,17.0,1.9
Surat,Kathor,7.78,1379.0,924,0.0,549,135,14,36.0,0.55,450,16,83.0,380.0,144.0,0.8
Surat,Katra deeh,7.91,654.0,438,0.0,244,78,3,10.0,0.47,200,68,22.0,260.0,30.0,0.7
Surat,Kherwa(Vadali),7.92,620.0,415,0.0,305,28,9,26.0,0.5,250,56,15.0,210.0,53.0,0.5
Surat,Madhi (New),8.16,1132.0,758,0.0,586,71,7,22.0,1.15,480,84,58.0,450.0,75.0,2.8
Surat,Madhi-1,7.79,1357.0,909,0.0,329,178,2,130.0,0.23,270,116,56.0,520.0,65.0,0.5
Kachchh,Dunai,8.07,1239.0,830,0.0,439,177,8,23.0,1.0,360,72,17.0,250.0,182.0,1.8
Kachchh,Gandhidham1,9.16,792.0,531,60.0,134,78,29,60.0,0.47,210,72,5.0,200.0,58.0,11.9
Kachchh,Haboi,8.13,1301.0,872,0.0,305,262,8,69.0,1.2,250,64,53.0,380.0,150.0,9.1
Kachchh,Kanmer,8.04,661.0,443,0.0,268,71,11,221.0,0.58,220,76,24.0,290.0,24.0,6.1
Kachchh,Karagoga,8.45,1160.0,777,60.0,403,78,14,54.0,1.4,430,20,7.0,80.0,245.0,2.4
Kachchh,Kotadi,8.42,1422.0,953,192.0,73,184,15,77.0,2.8,380,28,5.0,90.0,300.0,4.3
Kachchh,Kotaya,8.28,1371.0,919,0.0,512,213,22,25.0,1.8,420,52,14.0,190.0,268.0,1.3
Kachchh,Kotda jadvapur,8.12,3012.0,2018,0.0,317,886,2,30.0,0.8,260,140,108.0,800.0,350.0,6.6
Kachchh,Kothara,8.09,3750.0,2513,0.0,500,957,15,28.0,0.35,410,120,12.0,350.0,676.0,24.5
Kachchh,Kuda,8.12,1380.0,925,0.0,537,156,26,10.0,0.88,440,104,43.0,440.0,118.0,16.5
Kachchh,LAKHPAT,7.26,2678.0,1794,0.0,281,745,4,291.0,0.34,230,220,72.0,850.0,276.0,5.5
Kachchh,Lilpur,7.78,6861.0,4597,0.0,256,1666,72,741.0,0.9,210,56,120.0,1900.0,700.0,13.6
Kachchh,Lodai,8.05,2340.0,1568,0.0,293,603,29,146.0,1.35,240,220,24.0,650.0,290.0,15.6
Kachchh,Mota Asambia,8.2,1630.0,1092,0.0,476,291,14,404.0,0.28,390,80,10.0,240.0,280.0,6.3
Kachchh,Moti cher,7.91,4000.0,2680,0.0,366,1099,24,70.0,0.13,300,240,48.0,800.0,496.0,59.0
Kachchh,Mou-moti,8.08,1534.0,1028,0.0,451,241,56,374.0,1.2,370,60,26.0,260.0,240.0,5.4
Kachchh,Naliya1,8.47,2665.0,1786,96.0,500,425,30,213.0,1.1,570,100,24.0,350.0,495.0,4.0
Kachchh,Rapar2,7.94,4207.0,2819,0.0,305,957,74,663.0,0.97,250,300,120.0,1250.0,400.0,38.0
Kachchh,Rathanpurkhadir,8.44,1443.0,967,0.0,464,213,10,87.0,0.2,380,100,55.0,480.0,140.0,12.4
Kachchh,Samkhiari,7.96,4385.0,2938,0.0,488,1170,84,49.0,1.9,400,160,108.0,850.0,619.0,11.2
Kachchh,Sedat,8.19,742.0,497,0.0,244,113,0,52.0,0.08,200,56,43.0,320.0,44.0,3.0
Kachchh,Shinaya,8.09,3092.0,2072,0.0,268,957,2,9.0,0.7,220,160,24.0,500.0,494.0,8.4
Kachchh,Sirani Vandh,7.98,6640.0,4449,,244,1773,8,818.0,0.9,200,100,384.0,1850.0,710.0,22.4
Kachchh,Tera,8.29,5000.0,3350,0.0,964,1099,56,127.0,2.1,790,140,36.0,500.0,940.0,8.6
Kachchh,Vinjhan1,8.08,2565.0,1719,0.0,415,674,3,12.0,1.3,340,140,24.0,450.0,390.0,9.9
Kheda,Alina,7.92,2611.0,1749,0.0,464,503,140,163.0,0.97,380,132,91.0,710.0,310.0,11.0
Kheda,Balasinor1,8.13,793.0,531,0.0,232,121,20,30.0,0.6,190,64,31.0,290.0,56.0,2.1
Kheda,Bar,8.2,580.0,389,0.0,268,43,4,10.0,0.84,220,56,17.0,210.0,40.0,4.0
Kheda,Bariyavi,8.28,1260.0,844,0.0,512,106,30,113.0,0.6,420,44,72.0,410.0,140.0,17.0
Kheda,Dakor,8.29,2080.0,1394,0.0,939,170,21,28.0,1.04,770,88,55.0,450.0,281.0,19.2
Kheda,Juna vasadra,8.27,4370.0,2928,0.0,1025,815,30,217.0,0.77,840,300,132.0,1300.0,440.0,33.0
Kheda,Kalesar,8.55,1167.0,782,96.0,403,57,11,105.0,1.28,490,44,53.0,330.0,167.0,0.7
Kheda,Ladvel,8.24,2287.0,1532,0.0,573,461,43,15.0,3.2,470,80,96.0,600.0,270.0,15.0
Kheda,Mahudha,8.29,2486.0,1666,0.0,659,425,75,5.0,0.96,540,220,24.0,650.0,260.0,52.0
Kheda,Muliyad,7.68,9879.0,6619,0.0,342,2836,2,551.0,0.7,280,400,312.0,2300.0,1200.0,17.4
Kheda,Nadiad2,8.29,1300.0,871,0.0,622,92,1,78.0,0.8,510,52,127.0,660.0,30.0,0.5
Kheda,Shekhupura,8.27,4253.0,2850,0.0,756,993,10,172.0,0.18,620,100,120.0,750.0,500.0,300.0
Mahesana,Asjol,7.87,642.0,430,0.0,268,28,60,3.0,0.07,220,64,14.0,220.0,42.0,40.0
Mahesana,Bhandupara,7.03,1940.0,1300,0.0,415,418,45,7.0,0.7,340,36,43.0,270.0,328.0,2.0
Mahesana,Budasan,8.25,1816.0,1217,0.0,598,291,20,27.0,0.8,490,160,36.0,550.0,185.0,0.7
Mahesana,Dharpura,8.06,1630.0,1092,0.0,671,163,8,19.0,1.08,550,52,50.0,340.0,217.0,3.9
Mahesana,Dosaj,8.28,1760.0,1179,0.0,317,773,9,21.0,0.15,260,46,109.0,570.0,379.0,10.0
Mahesana,Kheralu1,8.29,1435.0,961,0.0,537,149,35,25.0,1.5,440,36,48.0,290.0,194.0,40.0
Mahesana,Maguna,8.0,4260.0,2854,0.0,915,681,2,363.0,0.0,750,120,276.0,1450.0,300.0,9.4
Mahesana,Panchot,7.96,3012.0,2018,0.0,476,744,50,116.0,0.2,390,140,120.0,850.0,352.0,20.0
Mahesana,Rampura1,7.91,1200.0,804,0.0,586,64,14,30.0,0.5,480,48,31.0,250.0,146.0,44.0
Mahesana,Sihi,8.42,860.0,576,48.0,220,92,8,16.0,0.7,260,48,26.0,230.0,86.0,27.0
Mahesana,Tarabh,8.02,700.0,469,0.0,244,71,12,20.0,0.02,200,48,26.0,230.0,38.0,20.0
Mahesana,Timba,8.09,1200.0,804,0.0,573,106,50,6.0,1.08,470,144,31.0,490.0,83.0,5.1
Mahesana,Unad,8.29,9000.0,6030,0.0,1403,2021,34,178.0,0.88,1150,140,300.0,1600.0,1220.0,160.0
Mahesana,Unawa,7.98,4090.0,2740,0.0,952,780,175,25.0,0.64,780,160,120.0,900.0,535.0,75.0
Mahesana,Unjha,8.11,3160.0,2117,0.0,549,638,14,213.0,1.27,450,100,120.0,750.0,390.0,77.0
Mahesana,Vidaj,8.06,2902.0,1944,0.0,647,532,42,133.0,0.01,530,140,156.0,1000.0,213.0,12.9
Narmada,Amiyar,7.99,515.0,345,0.0,354,21,6,24.0,0.5,290,72,15.0,240.0,51.0,0.5
Narmada,Besana,8.09,395.0,265,0.0,281,21,6,34.0,0.35,230,72,7.0,210.0,42.0,0.6
Narmada,Devji Faliya,8.02,534.0,358,0.0,293,35,25,38.0,0.4,240,88,10.0,260.0,42.0,0.7
Narmada,Jankh,8.07,544.0,364,0.0,305,64,11,12.0,0.6,250,68,15.0,230.0,62.0,0.2
Narmada,Kanbi pitha,7.86,808.0,541,0.0,464,78,12,112.0,0.3,380,104,24.0,360.0,119.0,5.9
Narmada,Khadiapada,7.73,591.0,396,0.0,192,78,11,17.0,0.35,157,68,24.0,270.0,12.0,2.8
Narmada,Khota amba,7.69,621.0,416,0.0,488,71,4,0.0,0.65,400,64,29.0,280.0,104.0,0.6
Narmada,Moti Singlot,8.1,357.0,239,0.0,268,21,9,34.0,0.35,220,48,19.0,200.0,43.0,0.1
Narmada,Ralda,7.95,408.0,273,0.0,232,57,3,2.0,0.6,190,36,22.0,180.0,45.0,0.2
Narmada,Rasela,7.77,1943.0,1302,0.0,476,319,10,20.0,0.35,390,120,44.0,480.0,182.0,4.4
Narmada,Ringani,7.76,483.0,324,0.0,293,78,4,18.0,0.55,240,52,27.0,240.0,62.0,0.4
